id,prompt,phrasing_style,domain,d1,d2,d3,d4,d5
day2_t1_gap_035,"comparing the two medical plans in the attached benefits brochure, what is the annual deductible difference for an individual",explicit,General Enterprise,0.25,0,0.25,0.25,0.25
day2_t1_gap_036,what is the difference between a rolling deployment and a blue-green deployment,explicit,DevOps,0.25,0.25,0.25,0,0
day2_t1_gap_037,"our jenkins pipeline failed during the test stage, can you tell me why based on the build logs I attached",implicit,DevOps,0,0.5,0,0.25,0.25
day2_t1_gap_038,how do I add a webhook to a github repo,vague,DevOps,0,0.25,0,0,0
day2_t1_gap_039,what is the difference between prometheus pull and push scraping methods,explicit,DevOps,0.25,0.5,0.25,0,0
day2_t1_gap_040,"our deploy is throwing cert validation errors, do we need to regenerate the self-signed cert or update the ca trust bundle",implicit,DevOps,0.25,0.25,0,0,0
day2_t1_gap_041,what is the difference between aws s3 standard and s3 glacier flexible retrieval storage classes,explicit,Cloud Infrastructure,0.25,0.25,0.25,0,0
day2_t1_gap_042,"we are getting 403 access denied when accessing the s3 bucket, can you look at this bucket settings JSON I've attached and find the error",implicit,Cloud Infrastructure,0,0.25,0,0.25,0.25
day2_t1_gap_043,whats the maximum size of an aws s3 object,vague,Cloud Infrastructure,0,0.25,0,0,0
day2_t1_gap_044,what is the function of an internet gateway in an aws vpc,explicit,Cloud Infrastructure,0,0.25,0.25,0,0
day2_t1_gap_045,"the dev team says our database latency is high, should we increase the provisioned iops or change the instance type to a memory-optimized one",implicit,Cloud Infrastructure,0.25,0.25,0.25,0,0
day2_t1_gap_046,what is the difference between aws savings plans and reserved instances,explicit,FinOps,0.25,0.5,0.25,0,0
day2_t1_gap_047,"our cloud bill spiked dramatically last month, looking at this cost explorer csv export attached, which service had the largest increase",implicit,FinOps,0,0.5,0,0.25,0.25
day2_t1_gap_048,how is cloud unit cost calculated,vague,FinOps,0,0.25,0,0,0
day2_t1_gap_049,what is the definition of amortized cost in cloud billing,explicit,FinOps,0,0.5,0.25,0,0
day2_t1_gap_050,"we have a lot of untagged resources driving up costs, looking at the tagging file attached, should we apply these rules via organization settings or run an ad-hoc cleanup script first",implicit,FinOps,0.25,0.25,0,0.25,0.25
day2_t1_gap_051,"our factory floor gateway log attached shows connection drops every hour, what's causing this?",implicit,IoT & Smart Factory,0,0.5,0,0.25,0.25
day2_t1_gap_052,"modbus tcp vs rtu for plc data transfer, which is faster",vague,IoT & Smart Factory,0.25,0.5,0.25,0,0
day2_t1_gap_053,what is the default port for opc ua discovery services,explicit,IoT & Smart Factory,0,0.5,0,0,0
day2_t1_gap_054,what is the difference between a hard bounce and a soft bounce in hubspot email campaigns,explicit,Marketing Tech,0.25,0.5,0.25,0,0
day2_t1_gap_055,"the active campaign export I uploaded shows zero clicks for yesterday, why would that happen",implicit,Marketing Tech,0,0.5,0,0.25,0.25
day2_t1_gap_056,"google ads vs meta ads for local reach, which is cheaper",vague,Marketing Tech,0.25,0.25,0.25,0,0
day2_t1_gap_057,difference between EDIFACT and ANSI X12 element separators,explicit,Supply Chain,0.25,0.5,0.25,0,0
day2_t1_gap_058,"the tracking sheet I attached says pending for five days, what does that status mean",implicit,Supply Chain,0,0.25,0,0.25,0.25
day2_t1_gap_059,where is the new warehouse return policy pdf saved,vague,Supply Chain,0.25,0,0,0,0
day2_t1_gap_060,how do I submit an expense report for my travel expenses on expensify,explicit,General Enterprise,0,0,0.25,0,0
day2_t1_gap_061,"my pay stub attached has a deduction labeled feedamerica, what is this deduction for",implicit,General Enterprise,0,0,0,0.25,0.25
day2_t1_gap_062,who is the contact person for dental insurance questions,vague,General Enterprise,0,0,0,0,0
day2_t1_gap_063,what is the difference between blue-green deployment and canary deployment,explicit,DevOps,0.25,0.5,0.25,0,0
day2_t1_gap_064,"the github actions workflow yaml I uploaded fails on the checkout step, what did I do wrong",implicit,DevOps,0,0.25,0,0.25,0.25
day2_t1_gap_065,why does our grafana keep losing the prom connection,vague,DevOps,0.25,0.25,0.25,0,0
day2_t1_gap_066,what is the default timeout on aws api gateway,explicit,Cloud Infrastructure,0,0.25,0,0,0
day2_t1_gap_067,"the terraform config I pasted shows an error on the s3 bucket resource, what is the issue",implicit,Cloud Infrastructure,0,0.25,0,0.25,0.25
day2_t1_gap_068,"aws savings plans vs reserved instances, which is better for dev environments",vague,FinOps,0.25,0.25,0.25,0,0
day2_t1_gap_069,"our cost dashboard has a spike in untagged ec2 resources this week, how do we find which team owns them",implicit,FinOps,0.25,0.25,0.25,0,0
day2_t2_gap_001,"our kafka consumers keep falling behind and
we dont know why, need to sort this",vague,Data Engineering,0.5,0.25,0.5,0,0
day2_t2_gap_002,"costs keep creeping up, nobody knows who owns
what in aws, half the tags are wrong",vague,FinOps,0.5,0.25,0.5,0,0
day2_t2_gap_003,"audit team is on us about SOC 2 access reviews and
nobody has the right list",vague,Security,0.75,0.75,0.5,0,0
day2_t2_gap_004,"pipelines are failing randomly on the docker build step
and it's blocking deployments",vague,DevOps,0.5,0.25,0.25,0,0
day2_t2_gap_005,"I have uploaded our draft cloud architecture design for
our new AWS multi-region payment gateway and a PDF containing the gap analysis
from our pre-assessment. We need to align this with NIST SP 800-53 Rev 5
controls, specifically focusing on Access Control (AC) and System and
Communications Protection (SC) families. Please generate a comprehensive
security engineering and compliance document that maps our current architecture
elements to the relevant NIST controls, identifies specific technical gaps, and
provides step-by-step remediation plans for our infrastructure team.",explicit,Security,0.75,0.75,0.75,0.25,0.5
day2_t2_gap_006,"Our SageMaker spend went
up 140% last month, mostly driven by training jobs and idle endpoints. I've
attached our AWS Cost Explorer CSV report for the last 90 days, along with our
active instance inventory. We need to find where the waste is occurring and
align our setup with FinOps Foundation standards for the Optimize phase,
specifically targeting unit economics for training runs and lifecycle rules for
multi-model endpoints.",implicit,FinOps,0.75,0.75,0.75,0.25,0.5
day2_t2_gap_007,"Based on the GitHub Actions workflow YAML I've pasted below, please
create an optimized CI/CD build configuration using GitHub self-hosted runners.
We need to implement caching for our npm dependencies, parallelize the test
execution matrix across three runners, and add a step to run security linting
via SonarQube before the build step starts.",explicit,DevOps,0.5,0.5,0.5,0.25,0.25
day2_t2_gap_008,"Our Databricks
Spark jobs are constantly failing with out-of-memory errors on large shuffles.
I've attached the Spark UI execution log export for the failing job, which
handles our daily clickstream aggregation. We're seeing massive skew on the
session ID join. We need to resolve these shuffle spill issues and optimize the
memory partitioning so this job actually finishes within our SLA.",implicit,Data Engineering,0.5,0.5,0.75,0.25,0.5
day2_t2_gap_009,"I've attached our current Salesforce REST API
integration schema. Using this payload structure, please write a comprehensive
mapping spec for MuleSoft Anypoint Platform to transform this customer data into
our downstream SAP OData service format, including error handling for missing
required tax fields and phone number normalization.",explicit,System Integration,0.5,0.5,0.5,0.25,0.25
day2_t2_gap_010,"Our marketing team wants to
deploy a new LLM-based customer personalization agent using OpenAI's API. I've
attached our draft vendor data processing agreement (DPA) and the system data
flow diagram. We have major concerns around GDPR compliance, specifically
Article 22 automated decision-making and cross-border data transfers of PII when
user queries are logged. We need to identify the exact regulatory risks of this
setup and how we can implement data masking and rate-limiting to mitigate
them.",implicit,AI Governance,0.75,0.75,0.75,0.25,0.5
day2_t2_gap_011,"Referencing our attached draft
business continuity policy and the AWS multi-region disaster recovery
architecture diagrams, please draft an ISO 27001 Annex A.17 compliance report.
It must evaluate our failover procedures, Recovery Point Objective (RPO)
guarantees, and operational procedures for testing our backups annually,
pointing out any compliance gaps.",explicit,Security,0.75,0.75,0.75,0.25,0.5
day2_t2_gap_012,"We're migrating our legacy
virtual machines to AWS EC2 and I've attached our current server inventory sheet
containing CPU, memory, and storage metrics. The application servers are highly
transactional but have predictable load spikes. We need to figure out the right
EC2 instance families, sizing, and EBS volume configurations to prevent
performance degradation without overprovisioning.",implicit,Cloud Infrastructure,0.5,0.25,0.5,0.25,0.25
day2_t2_gap_013,"Our clinical
product team is building an LLM feature to automatically summarize
patient-doctor conversations in our EHR system. Create a comprehensive clinical
data security and compliance policy for this integration. The policy must cover
patient data de-identification, explicit opt-in procedures, administrative
safeguards under HIPAA, and technical controls for ensuring no PHI is cached on
third-party model provider servers. Include a structured compliance checklist
and an engineering workflow diagram description.",explicit,AI Governance,0.75,0.75,0.75,0,0.5
day2_t2_gap_014,"We have multiple Linux application servers running in
our DMZ that are completely out of compliance with CIS Benchmarks Level 2. Our
operations team is pushing back on disabling legacy protocols and restricting
outgoing SSH traffic, claiming it will disrupt our API integrations. We need to
resolve these conflicting security and operational needs without lowering our
risk posture, specifically addressing firewall configuration, service hardening,
and credential rotations.",implicit,Security,0.75,0.75,0.75,0,0.25
day2_t2_gap_015,"Provide a detailed technical comparison of running our web
application on a Kubernetes-managed container setup versus a serverless
container environment. The comparison must look at deployment overhead, scaling
latency, and cold-start impacts, and include a decision matrix to help our
engineering leadership make a final choice.",explicit,Cloud Infrastructure,0.5,0.25,0.5,0,0.25
day2_t2_gap_016,"We are struggling with a sudden surge in our Snowflake
data warehousing costs, which spike every morning when our BI reports refresh.
The analysts are executing unoptimized multi-table joins on raw tables, and the
auto-suspend times for our virtual warehouses are currently set to 10 minutes.
We need to cut down this monthly spend quickly while keeping the report runtimes
under 3 minutes for the executive team.",implicit,FinOps,0.5,0.5,0.5,0,0.25
day2_t2_gap_017,"Provide a checklist for a production readiness review of an ML model deployed
to Triton Inference Server. The checklist should focus specifically on
performance optimization parameters, concurrency configs, and health check
monitoring requirements.",explicit,DevOps,0.5,0.5,0.25,0,0.25
day2_t2_gap_018,"Our dbt runs are taking over two hours to
complete on our BigQuery analytics warehouse. Several of our intermediate tables
are being materialized as full tables instead of views or incremental models,
and we are querying the same raw tables across multiple staging layers. We need
to reduce this build time and optimize our pipeline execution order before our
cloud resource budget gets drained.",implicit,Data Engineering,0.5,0.5,0.25,0,0.25
day2_t2_gap_019,"Develop an
organizational evaluation matrix for assessing bias and drift in third-party
generative AI models. The evaluation must cover technical criteria for checking
prompt injection susceptibility, statistical methods for measuring output
distribution shift, and the internal governance workflow required when a model
fails its drift threshold.",explicit,AI Governance,0.75,0.5,0.75,0,0.25
day2_t2_gap_020,"Our real-time transactional system syncs data from our
core database to three external microservices using Apache Kafka, but we've seen
out-of-order execution during broker partition rebalances, causing data
corruption in the target systems. We need to guarantee exactly-once processing
and strict ordering for these transactional updates even when our primary broker
nodes undergo unexpected failovers.",implicit,System Integration,0.75,0.5,0.5,0,0.25
day2_t2_gap_021,"Our annual SOC 2 Type II audit is coming up
and I've attached our current IAM policy configurations and the list of
developer group memberships. We need a formal remediation document mapping these
access patterns directly to the Trust Services Criteria CC6.3 requirements.
Specifically, identify any accounts missing multi-factor authentication,
highlight group memberships that violate the principle of least privilege, and
outline a step-by-step remediation plan for our active directory administration
team.",explicit,Security,0.75,0.75,0.75,0.25,0.5
day2_t2_gap_022,"Our Kubernetes
cluster costs on AWS EKS are spiraling out of control because our developers are
setting excessive CPU and memory requests for their development namespaces. We
are seeing node utilization drop below 15% during off-peak hours but we are
still paying for the full EC2 instance capacity. We need to introduce cluster
autoscaling strategies and default namespace limits to curtail this waste
without causing deployment OOM errors.",implicit,FinOps,0.5,0.5,0.5,0,0.25
day2_t2_gap_023,"deployments are crawling lately
and keeping the dev team stuck, looks like a cache or package issue",vague,DevOps,0.5,0.25,0.25,0,0
day2_t2_gap_024,"Based on the database schema I've pasted below
for our transactional order table, please design an optimized PostgreSQL schema
layout for a read-heavy reporting replica. We need to implement table
partitioning by order date, add appropriate partial indexes on active statuses,
and configure vacuum settings to handle frequent update operations.",explicit,Data Engineering,0.5,0.5,0.5,0.25,0.25
day2_t2_gap_025,"We are integrating third-party generative AI
models into our customer-facing messaging app to auto-draft replies. We have
strict GDPR concerns regarding user conversations that contain PII like credit
card numbers or physical addresses being processed or retained by these external
APIs. We need to find the best way to implement client-side scanning and
anonymization techniques before transmitting payloads to the external API
endpoints.",implicit,AI Governance,0.75,0.75,0.75,0,0.25
day2_t2_gap_026,"our storage
costs on s3 are way up and we don't know what's in there anymore",vague,Cloud Infrastructure,0.5,0.25,0.5,0,0
day2_t2_gap_027,"Design an API integration
layout to sync customer ticket statuses between ServiceNow and Jira Service
Management. The solution must detail the webhook configuration, handling of rate
limits, authentication via OAuth 2.0, and a retry mechanism with exponential
backoff for when one of the platforms experiences service disruptions.",explicit,System Integration,0.5,0.5,0.5,0,0.25
day2_t2_gap_028,"I've attached our server event log extracts
showing multiple unauthorized administrator login attempts on our legacy
internal file servers. In accordance with the NIST Incident Handling Guide
(SP 800-61 Rev. 2), we need to assess our operational state and align our
technical isolation and analysis workflow to contain this threat while avoiding
the accidental deletion of volatile forensic evidence.",implicit,Security,0.75,0.75,0.5,0.25,0.5
day2_t2_gap_029,"our cloud bill is double what it was last quarter and nobody can
explain it",vague,FinOps,0.5,0.25,0.25,0,0
day2_t2_gap_030,"Using the attached Jenkinsfile from our microservice build pipeline,
generate a complete migration strategy to move this workflow to GitLab CI. The
final output must detail equivalents for all environment variables, build
triggers, Docker registry authentications, and specify how we can implement
parallel testing stages to reduce our overall pipeline execution times.",explicit,DevOps,0.5,0.5,0.75,0.25,0.5
day2_t2_gap_031,"Our daily ETL pipeline in
Apache Airflow is constantly missing its SLA because upstream source tables are
updated at inconsistent times. This causes down-stream task failures when
expected data partitions are empty. We need to restructure our DAG topology and
configure sensor tasks or conditional triggers to handle these delivery delays
without manually restarting tasks.",implicit,Data Engineering,0.5,0.5,0.5,0,0.25
day2_t2_gap_032,"Create a formal model risk management policy in alignment with the
NIST Artificial Intelligence Risk Management Framework (AI RMF 1.0). The policy
must specify governance criteria for evaluating pre-trained open-source
foundational models, describe specific testing procedures for toxic output
detection, and define mandatory audit documentation rules for our engineering
teams.",explicit,AI Governance,0.75,0.75,0.75,0,0.25
day2_t2_gap_033,"Our AWS footprint is growing fast and our security team
is unhappy with how we manage our VPC architectures. I've attached our core
Terraform networking configurations. We need to restructure this setups to
enforce isolated private subnets, routing through a centralized Transit Gateway,
and configure NAT Gateway endpoints to minimize regional traffic routing
costs.",implicit,Cloud Infrastructure,0.5,0.5,0.75,0.25,0.5
day2_t2_gap_034,"Using the attached OpenAPI
specification for our backend billing service, please design a secure gateway
integration via AWS API Gateway. We need to enforce API key authorization,
configure rate-limiting policies to prevent denial-of-service attempts, and
design custom request mapping templates to scrub internal system identifiers
before responses are returned to public clients.",explicit,System Integration,0.75,0.5,0.5,0.25,0.5
day2_t2_gap_035,"we
had a credential leak in one of our repos and need a clean up strategy fast
before anything gets compromised",vague,Security,0.5,0.25,0.5,0,0
day2_t2_gap_036,"Produce a comprehensive cloud unit economics plan based on FinOps
Foundation practices for our multi-tenant SaaS application. The plan must
establish a methodology for attributing dynamic compute and storage usage to
individual tenants, define key performance indicators to track cost per active
user, and specify programmatic mechanisms to alert account teams of anomalous
tenant spend spikes.",explicit,FinOps,0.75,0.75,0.75,0,0.25
day2_t2_gap_037,"Our automated ML training
pipelines are wasting significant resources because they re-run completely every
night even when the source training data in our warehouses hasn't changed. We
need to build a caching system that tracks data version hashes in MLflow and
checks them before kicking off compute-intensive GPU training steps.",implicit,DevOps,0.5,0.5,0.5,0,0.25
day2_t2_gap_038,"Referencing the attached JSON event schema for
our IoT telemetry devices, please design an end-to-end data ingestion pipeline
using Apache Flink. The solution must specify how to parse incoming records,
handle late-arriving events using watermark offsets, and perform session-based
window aggregations before loading the clean data into a timeseries database.",explicit,Data Engineering,0.5,0.5,0.5,0.25,0.5
day2_t2_gap_039,"We
are establishing a corporate AI red-teaming program and need to coordinate our
testing workflows with ISO 27001 standards, particularly around vulnerability
management and information classification. We need to establish clear protocol
steps for identifying prompt injection exploits, logging model interactions, and
storing sensitive training data artifacts.",implicit,AI Governance,0.75,0.75,0.5,0,0.25
day2_t2_gap_040,"Create a technical setup checklist for
configuring a secure, multi-region AWS Client VPN. The checklist must cover
integration with Azure AD for identity management, split-tunneling setup to
conserve bandwidth, and configuring security group rules to restrict user access
to production databases.",explicit,Cloud Infrastructure,0.5,0.5,0.25,0,0.25
day2_t2_gap_041,"Our message processing system is experiencing massive
lag during peak business hours. Webhooks from Stripe are hitting our endpoint at
high speed, causing our backend database to lock up due to concurrent connection
spikes. We need a way to throttle these incoming payloads and process them
asynchronously using a message queue.",implicit,System Integration,0.5,0.5,0.5,0,0.25
day2_t2_gap_042,"Develop a formal business
associate security guide that outlines the technical safeguards required under
the HIPAA Security Rule for our cloud-based EHR platform. The document must
define encryption standards for data in transit and at rest, administrative
rules for audit logging, and automated procedures for terminating active
sessions after a period of user inactivity.",explicit,Security,0.75,0.75,0.75,0,0.25
day2_t2_gap_043,"We are
migrating multiple workloads from on-premises servers to Microsoft Azure and I
have attached our resource estimation spreadsheet. We are seeing high projected
costs for SQL Database instances. We need to evaluate elastic pool alternatives
and configure auto-scaling schedules to keep our licensing and resource costs
within our budget allocation.",implicit,FinOps,0.5,0.5,0.75,0.25,0.5
day2_t2_gap_044,"Write an end-to-end blue-green deployment strategy for
a stateless application deployed to Amazon ECS. The strategy must detail the
configuration of the Application Load Balancer target groups, specify health
checks used during traffic shifting, and provide a rollback process for when
error rates increase during a rollout.",explicit,DevOps,0.5,0.5,0.5,0,0.25
day2_t2_gap_045,"We
are designing a centralized cloud data lake containing web behavior logs of
European Union citizens. We must restrict access to these raw metrics to comply
with GDPR data minimization regulations. We need to find standard ways to
construct a dynamic masking layer that automatically redacts raw PII for general
analytics teams while preserving full decryption capabilities for compliance
personnel.",implicit,Data Engineering,0.75,0.75,0.75,0,0.25
day2_t2_gap_046,someone committed an aws credentials file into our public repo last night and we need to deal with this immediately before we get hacked,vague,Security,0.5,0.25,0.5,0,0
day2_t2_gap_047,"our kafka consumers keep falling behind and we dont know why, need to sort this out before the morning peak",vague,Data Engineering,0.5,0.25,0.5,0,0
day2_t2_gap_048,"our main build pipeline has been flaky all week and keeps failing on integration tests randomly, we can't ship like this",vague,DevOps,0.5,0.25,0.25,0,0
day2_t2_gap_049,"I've uploaded our AWS cost allocation reports from the last three quarters. Our cloud egress fees are spiking and finance is breathing down our neck to align with the FinOps Foundation standards for shared cost allocation. We're bleeding money on cross-region data transfers between our EKS clusters and RDS instances, and we need to understand how to attribute these expenses correctly to individual business units and figure out how to stop the bleeding.",implicit,FinOps,0.75,0.75,0.75,0.25,0.5
day2_t2_gap_050,"I've uploaded the gap assessment findings from our ISO 27001 stage 1 audit. The auditor flagged major issues with how we handle offboarding and immediate revocation of access tokens across our Okta and GitHub environments. We have some terminated contractors whose SSH keys are still active in production, and we need to remediate these access vulnerabilities immediately to satisfy Annex A.12 and A.18 requirements before the stage 2 audit next month.",implicit,Security,0.75,0.75,0.75,0.25,0.5
day2_t2_gap_051,"I've attached our Snowflake table schemas and current dbt DAG. Every time our upstream Salesforce API changes its payload format, our downstream analytical pipelines break because of missing columns and type mismatches. We need to handle schema drift dynamically without our warehouse tables blowing up or having our Looker dashboards show stale data to the executive team.",implicit,Data Engineering,0.75,0.5,0.5,0.25,0.5
day2_t2_gap_052,"I've uploaded our LLM API logging metadata and our customer data classification definitions. Our customer support team has been using public OpenAI APIs to summarize customer transcripts, and we discovered that sensitive PII has been sent over without scrubbers. We need to intercept these API calls to prevent further compliance exposure while still allowing the team to use these AI tools to close support tickets.",implicit,AI Governance,0.75,0.5,0.5,0.25,0.5
day2_t2_gap_053,"Our Kubernetes clusters are taking too long to scale up during traffic spikes, and users are getting 504 gateway timeouts. We're using standard Horizontal Pod Autoscaling based on CPU utilization, but our Java services take 90 seconds to bootstrap, which means the spike has already overwhelmed the pods before the new ones are even healthy. We need to fix this bottleneck and make our clusters much more responsive to sudden load increases.",implicit,DevOps,0.5,0.5,0.5,0,0.25
day2_t2_gap_054,"Our Route 53 latency routing isn't working as we expected for our multi-region setup in us-east-1 and eu-west-1. When our US application database goes down, our health checks aren't triggering fast enough, and European users are getting routed to a dead US endpoint instead of failing over to our European replicas. We need to understand how to configure our DNS health checks and database replication lag thresholds to guarantee seamless routing.",implicit,Cloud Infrastructure,0.5,0.5,0.5,0,0.25
day2_t2_gap_055,"We're experiencing sync issues between Salesforce and our legacy on-prem database. Salesforce outbound webhooks are firing, but our gateway drops messages when traffic is high, leading to missing invoices and order discrepancies. We need to resolve this integration bottleneck so that our database stays perfectly updated with customer records.",implicit,System Integration,0.5,0.25,0.25,0,0.25
day2_t2_gap_056,"I've attached our draft internal data processing map and our API inventory. Under GDPR Article 15, we're getting overwhelmed with data deletion requests and need to automate the extraction and deletion of customer telemetry from our databases, HubSpot, and Stripe without accidentally wiping their financial records or legal hold items. We need to map out how to build a pipeline to handle these requests automatically.",implicit,Security,0.75,0.75,0.75,0.25,0.5
day2_t2_gap_057,"I have attached our current draft of internal software development guidelines and a list of our active machine learning projects. We need to align our development with the NIST AI Risk Management Framework (AI RMF). Please draft a comprehensive corporate AI Governance Policy that establishes clear roles, risk assessment steps for LLM deployments, and ongoing audit requirements for our engineering teams.",explicit,AI Governance,0.75,0.75,0.75,0.25,0.5
day2_t2_gap_058,"Create a reusable GitHub Actions workflow template for our microservices. The template must run SonarQube scans, build a Docker image, push it to AWS ECR, and update our Helm values file in a separate GitOps repository, using IAM OIDC roles instead of hardcoded AWS credentials.",explicit,DevOps,0.5,0.5,0.5,0,0.25
day2_t2_gap_059,"Based on the draft SOC 2 audit report I've attached, write a formal remediation plan addressing the findings around CC6.1 (Logical Access Controls) and CC6.3 (Access Modification). The plan must include specific configuration changes for our AWS IAM and Okta integrations, assign responsibilities, and set remediation timelines.",explicit,Security,0.75,0.75,0.75,0.25,0.25
day2_t2_gap_060,"Develop a detailed cost optimization proposal for our database footprint on AWS. We are currently running multiple self-managed PostgreSQL databases on EC2 and several Amazon RDS instances. I need a clear guide detailing how we can leverage Reserved Instances, Savings Plans, and automated storage tiering to reduce our DB spend by 30% without impacting application SLAs.",explicit,FinOps,0.5,0.5,0.5,0,0.25
day2_t2_gap_061,"Write a comprehensive technical runbook for migrating our analytics data platform from an on-premise Apache Hive cluster to Google Cloud BigQuery. The runbook needs to provide detailed migration steps for historical data, SQL query translation, Schema optimization mapping, and dual-run validation procedures.",explicit,Data Engineering,0.5,0.5,0.75,0,0.25
day2_t2_gap_062,"Provide a technical integration spec sheet outlining how to configure Auth0 as a federated identity provider for our legacy on-prem Active Directory Federation Services (ADFS), using SAML 2.0 protocol.",explicit,System Integration,0.5,0.5,0.25,0,0.25
day2_t2_gap_063,"Based on the security architecture outline and cloud inventory sheet I've attached, write a formal cloud resource lifecycle policy that enforces cost optimization constraints across our AWS environments. This policy must strictly align with HIPAA compliance for data isolation and the FinOps Foundation Framework for cost visibility and accountability.",explicit,FinOps,0.75,0.75,0.75,0.25,0.25
day2_t2_gap_064,"Draft a formal corporate standard for our engineering and product teams on using generative AI, specifically aligning with the ISO/IEC 42001 Artificial Intelligence Management System. The standard must outline risk categorization, data privacy controls, and monitoring requirements for deploying third-party LLMs.",explicit,AI Governance,0.75,0.75,0.75,0,0.25
