use_case,complexity,domain,prompt
"code-generation","low","javascript","Write a JavaScript function that debounces another function — delays execution until N milliseconds after the last call. Include a cancel method on the returned function."
"code-generation","low","javascript","Write a JavaScript utility that deep-clones an object without using JSON.parse/JSON.stringify. Handle circular references."
"code-generation","low","javascript","Write a React custom hook called useLocalStorage that syncs state to localStorage and handles JSON serialization/deserialization."
"code-generation","low","sql","Write a SQL query that finds customers who placed more than 3 orders in the last 30 days but whose average order value has decreased compared to their lifetime average. Tables: customers, orders."
"code-generation","low","sql","Write a SQL query to detect duplicate rows in a table based on a subset of columns, and return only the duplicates with their count."
"code-generation","low","bash","Write a bash script that monitors a log file for the string 'ERROR' and sends an email alert (using mailx) whenever a new error appears, without re-alerting for the same error twice."
"code-generation","low","bash","Write a bash script that backs up a directory, compresses it with a timestamp in the filename, and deletes backups older than 7 days."
"code-generation","low","api","Write a FastAPI endpoint that accepts a file upload, validates it is a PDF under 5MB, saves it to disk with a UUID filename, and returns the file path and upload timestamp."
"code-generation","low","data","Write a Python function using pandas that pivots a sales DataFrame from long format (one row per product per month) to wide format (one row per product, one column per month)."
"code-generation","low","data","Write a Python script that connects to a PostgreSQL database, runs a query, and exports the result to a formatted Excel file with column headers styled in bold."
"code-generation","mid","python","Implement a generic LRU cache in Python without using functools.lru_cache or any external library. Support get and put operations in O(1) time. Write tests for cache eviction behavior."
"code-generation","mid","python","Write a Python class that implements a rate limiter using the token bucket algorithm. It should support per-user limits and be thread-safe. Include a demo showing it blocking over-limit requests."
"code-generation","mid","python","Write a Python async function that fetches data from 20 URLs concurrently, respects a rate limit of 5 requests/second, retries on 429 and 5xx errors with exponential backoff, and returns structured results including failures."
"code-generation","mid","python","Write a Python module that parses a custom DSL for defining data transformation pipelines. The DSL syntax: 'load → filter(column=value) → rename(old=new) → save'. Return a callable pipeline."
"code-generation","mid","javascript","Implement a JavaScript event emitter class from scratch that supports on, off, once, and emit. Handle memory leaks from dangling listeners. Include TypeScript type signatures as comments."
"code-generation","mid","javascript","Write a React component that implements an infinite scrolling list fetching paginated data from an API. Handle loading states, errors, deduplication, and scroll position restoration on back-navigation."
"code-generation","mid","api","Write a FastAPI middleware that authenticates requests using JWT, extracts user roles from the token, and decorates route handlers with a permission check decorator that accepts a list of allowed roles."
"code-generation","mid","api","Design and implement a webhook handler in Python that verifies HMAC signatures, processes events idempotently using a Redis-backed deduplication key, and retries failed handlers with a dead-letter queue."
"code-generation","mid","sql","Write a PostgreSQL function that takes a user_id and returns a complete activity summary: total orders, total spend, most-purchased category, days since last order, and lifetime percentile rank among all users."
"code-generation","mid","sql","Write a SQL migration script that adds a soft-delete pattern to an existing users table: adds deleted_at timestamp, creates a view for active users, and updates all foreign key references to use the view."
"code-generation","mid","devops","Write a GitHub Actions workflow that runs tests on pull requests, builds a Docker image on merge to main, pushes to ECR, and triggers a deployment to ECS with a rollback step if the health check fails."
"code-generation","mid","data","Write a Python data pipeline that reads raw JSON event logs, validates schema using pydantic, deduplicates by event_id, aggregates hourly counts per user per event_type, and writes to a partitioned Parquet file."
"code-generation","mid","ml","Write a scikit-learn pipeline that preprocesses a tabular dataset with mixed types (numeric, categorical, text), trains a gradient boosting classifier, performs 5-fold cross-validation, and outputs a feature importance chart."
"code-generation","mid","security","Write a Python function that safely handles user-supplied file paths: prevents directory traversal attacks, validates the file is within an allowed base directory, and returns a sanitized absolute path or raises a descriptive error."
"code-generation","high","system-design","Design and implement a distributed job queue in Python using Redis. Support priority queues, job retries with exponential backoff, dead-letter queues, worker concurrency, and a monitoring endpoint that returns queue depth and worker status. Write the full implementation with tests."
"code-generation","high","system-design","Implement a multi-tenant feature flag system in Python. Each tenant has their own flag definitions, percentage rollout rules, and user-segment overrides. Flags are evaluated per-request with sub-millisecond latency using an in-memory cache with TTL-based invalidation backed by PostgreSQL."
"code-generation","high","python","Implement a concurrent web crawler in Python that respects robots.txt, rate-limits per domain, extracts and follows internal links up to depth N, detects and skips duplicate URLs using bloom filter, and stores results to SQLite. Must handle network errors, redirects, and malformed HTML gracefully."
"code-generation","high","python","Write a Python library that provides a typed, chainable query builder for PostgreSQL. Support SELECT with arbitrary WHERE clauses (and/or nesting), JOINs, GROUP BY, HAVING, ORDER BY, LIMIT/OFFSET, and parameterized queries to prevent SQL injection. Include comprehensive tests."
"code-generation","high","debugging","The following Python service handles webhook events from Stripe. Under high load it occasionally processes the same event twice, causing duplicate charges. Identify all concurrency and idempotency bugs, explain exactly why they occur, and rewrite the service with correct locking and deduplication."
"code-generation","high","debugging","The following React application has a memory leak that causes the browser tab to crash after 10 minutes of usage. The app uses WebSocket subscriptions, polling intervals, and a global event bus. Identify all leak sources with line-level explanations and provide fixed code."
"code-generation","high","ml","Implement a real-time anomaly detection system in Python that trains an Isolation Forest on streaming data, retrains periodically when concept drift is detected (using ADWIN), serves predictions via a FastAPI endpoint, and logs anomalies to a time-series database. Include Docker setup."
"code-generation","high","data","Design and implement a Python ETL framework that supports parallel extraction from 5 heterogeneous sources (REST API, PostgreSQL, S3 CSV, Kafka topic, SFTP), applies configurable transformations, handles schema evolution, and loads into BigQuery with exactly-once semantics."
"code-generation","high","api","Build a GraphQL API in Python using Strawberry that serves a social network's feed. Implement cursor-based pagination, field-level authorization, N+1 query prevention using DataLoader, rate limiting per field, and a subscription resolver for real-time feed updates via WebSocket."
"code-generation","high","devops","Write a Terraform module that provisions a production-grade ECS cluster: VPC with public/private subnets, ALB with HTTPS and WAF, ECS service with auto-scaling based on CPU and SQS queue depth, RDS Aurora with read replicas, and CloudWatch alarms with SNS notifications."
"code-generation","high","security","Implement a zero-trust API gateway in Python that validates mTLS client certificates, enforces per-route RBAC policies stored in OPA (Open Policy Agent), logs all decisions to an audit trail with tamper-evident hashing, and rate-limits per client certificate fingerprint."
"reasoning","low","logic","A train leaves City A at 9am going 60mph. Another train leaves City B (200 miles away) at 10am going 80mph toward City A. At what time do they meet? Show your work step by step."
"reasoning","low","logic","You have 12 balls, one of which is slightly heavier or lighter than the others. You have a balance scale and 3 weighings. Describe the strategy to find the odd ball and determine if it's heavier or lighter."
"reasoning","low","logic","Three people each make one true and one false statement. Given their statements, determine who is the liar, who always tells the truth, and who alternates."
"reasoning","low","math","A company's revenue grew 15% in year 1, declined 10% in year 2, and grew 20% in year 3. What was the net percentage change over 3 years? Why is this different from simply adding the percentages?"
"reasoning","low","math","If you invest $10,000 at 7% annual compound interest, how long will it take to double? Use the rule of 72 and then verify with the exact formula. Explain when each is appropriate."
"reasoning","low","decision","You have two job offers: Job A pays $120k with no equity, great work-life balance, and 10% annual raise. Job B pays $90k with 0.5% equity in a Series A startup, 60-hour weeks, and high risk of failure. Walk through a structured framework for deciding between them."
"reasoning","low","decision","A software team is deciding whether to fix technical debt now (costing 3 sprints) or ship a new feature first (risking 6–9 sprints of slowdown later). Analyze the tradeoffs using expected value reasoning."
"reasoning","low","causal","User retention for a mobile app dropped 15% the week after a major UI redesign. List all plausible alternative explanations beyond 'the redesign caused it' and explain what data you'd need to rule each out."
"reasoning","low","causal","A study found that cities with more ice cream shops have higher murder rates. Explain why this is not a causal relationship and identify the confounding variable."
"reasoning","low","estimation","Estimate how many piano tuners are in Chicago. Show your Fermi estimation approach step by step, including all assumptions and how you'd check your answer."
"reasoning","low","estimation","How many golf balls fit in a school bus? Explain your geometry assumptions and estimation strategy."
"reasoning","low","probability","A diagnostic test for a disease is 99% accurate. The disease affects 0.1% of the population. If you test positive, what is the actual probability you have the disease? Show using Bayes' theorem."
"reasoning","low","probability","You flip a fair coin 10 times and get 8 heads. Is the coin likely biased? Calculate the probability of getting 8 or more heads with a fair coin and explain what this means for your conclusion."
"reasoning","mid","system","A distributed system shows intermittent latency spikes every 4–6 hours with no obvious trigger. The spikes last 2–3 minutes and affect 30% of requests. List your top 5 hypotheses, ranked by prior probability, and describe the exact metrics and logs you'd examine to narrow down each one."
"reasoning","mid","system","An e-commerce site's conversion rate dropped from 3.2% to 2.1% after a deployment. The deployment contained 23 changes across frontend, backend, and infrastructure. Design a structured investigation plan to isolate the root cause with the minimum number of experiments."
"reasoning","mid","strategic","A B2B SaaS company has 80% of its revenue concentrated in 3 customers. The largest customer (40% of ARR) is hinting at renegotiating their contract. Analyze the strategic risks and recommend a 6-month diversification plan with specific tactics and success metrics."
"reasoning","mid","strategic","A startup has $500k runway and two options: (A) continue building the core product for 6 more months hoping to close a Series A, or (B) pivot to a simpler product that generates immediate revenue but abandons 18 months of work. Build the decision framework and recommend a path."
"reasoning","mid","ethical","An AI company discovers their model is performing significantly better for users from high-income countries than low-income ones due to training data bias. Shipping on schedule generates revenue needed to fix the problem. Not shipping delays the fix. Analyze the ethical dimensions of this decision."
"reasoning","mid","ethical","A product manager discovers that a dark pattern in their app's subscription flow is responsible for 30% of revenue — users are signing up without realizing they're starting paid trials. They have evidence users are unhappy but removing it will hurt quarterly targets. Reason through what they should do."
"reasoning","mid","math","Prove that the sum of the first N odd numbers equals N squared. Provide both an algebraic proof and a geometric/visual intuition."
"reasoning","mid","math","A company runs an A/B test: variant A has 500 conversions from 10,000 visitors (5%), variant B has 550 from 10,000 (5.5%). Is this result statistically significant? Calculate the p-value, explain what it means, and describe what sample size you'd need to detect a 0.5% lift with 80% power."
"reasoning","mid","causal","A tech company introduces mandatory code review for all PRs. Bug reports drop 40% in the following quarter. The engineering team concludes code review is highly effective. Identify at least 4 threats to this causal inference and explain how a better study design would address them."
"reasoning","mid","policy","A city is considering banning single-use plastics. Analyze the second-order effects: what industries are affected, what substitutions occur, what unintended consequences might arise, and how would you monitor for them?"
"reasoning","mid","product","A mobile app has high installs (100k/month) but poor retention — 80% of users churn within 7 days. The team believes the problem is onboarding. Walk through a systematic framework to diagnose whether onboarding is actually the problem or if something else is driving churn."
"reasoning","mid","logic","Design the optimal strategy for a game where two players alternate placing X's on a 4x4 grid. The winner is the first to complete a row, column, or diagonal of 4. Does the first player have a guaranteed winning strategy? Prove your answer."
"reasoning","high","system","You are the CTO of a fintech startup. Your monolithic Rails application handles payments, user management, and reporting. You're experiencing scaling issues at 50k transactions/day. Your team of 12 engineers will grow to 30 in 12 months. Design a realistic 18-month migration strategy to microservices that minimizes downtime, doesn't halt feature development, and accounts for team growth. Address data consistency, service boundaries, observability, and rollback strategy."
"reasoning","high","strategic","A profitable bootstrapped SaaS company ($3M ARR, 45% margins) is being approached by two acquirers: a PE firm offering $18M cash and a strategic acquirer offering $12M cash plus $8M in earnouts over 3 years. The founder has 100% equity. Analyze all dimensions of this decision: financial, personal, operational risk, and strategic fit. Build a recommendation with explicit assumptions."
"reasoning","high","causal","A large-scale observational study finds that people who drink 2 cups of coffee per day live 3 years longer on average than non-coffee drinkers. The study controlled for age, BMI, smoking, and income. Critically analyze whether this is causal. What residual confounders might exist? What study design would you need to establish causality? What policy implications (if any) follow?"
"reasoning","high","ethical","An autonomous vehicle must choose between hitting a group of 5 elderly pedestrians who crossed illegally, or swerving onto the sidewalk hitting 1 child. The company must encode a decision algorithm before the car ships. Analyze: the utilitarian framing and its problems, deontological constraints, the moral responsibility question (manufacturer vs. regulator vs. user), and what decision process you'd actually recommend the company follow, including whether to encode this at all."
"reasoning","high","ml","You've deployed an ML model for loan approval. You discover it denies applications at a significantly higher rate for one demographic group, even after controlling for credit score and income. The model has higher overall accuracy than your previous rule-based system. Reason through: the different definitions of fairness that apply, why they are mathematically incompatible, what business and regulatory constraints bind the decision, and what you would actually do — step by step."
"reasoning","high","policy","Design a regulatory framework for large language models that balances innovation, safety, and international competitiveness. Address: what constitutes a 'large' model requiring oversight, what pre-deployment evaluations should be mandatory, how liability should be assigned, what cross-border enforcement mechanisms are feasible, and how the framework avoids regulatory capture by incumbents. Identify your framework's top 3 weaknesses."
"reasoning","high","math","A startup is modeling customer churn. They fit a logistic regression achieving 85% accuracy on a test set. The product team declares it 'good enough' and wants to deploy. Analyze everything that could be wrong with this conclusion: class imbalance effects on accuracy, the right evaluation metrics for a churn model, temporal leakage risks, concept drift, and calibration. Write the message you would send to the product team."
"reasoning","high","system","Design the architecture for a globally distributed real-time collaborative document editor (like Google Docs) that must handle 1M concurrent users, support offline editing with sync on reconnect, guarantee eventual consistency, and provide millisecond latency for local edits. Address the CAP theorem tradeoffs, conflict resolution strategy (CRDT vs OT), infrastructure topology, and the specific failure modes you're most worried about."
