id,prompt,intent,task_type,reasoning_chain_detected,d1,d2,d3,d4,d5,complexity_score,tier,complexity,original_complexity,research_signals,confidence,low_confidence_flag,task_description,expected_answer,prompting_techniques,prompt_type,phrasing_style,domain,source,augmentation_group,intent_d1_mismatch_flag,boundary_t12_flag,boundary_t23_flag,original_row_flag
v4_boundary_t3_010,"We have an internal context packet about API migration readiness: MuleSoft mappings, SAP updates, retry handling. Analyze the situation, compare it with current external vendor guidance or market benchmarks, include regulatory implications where relevant, and produce a cross-functional rollout recommendation.",SYNTHETIC,reasoning,True,0.75,0.75,0.75,0.75,0.5,0.725,T3,high,,"[""system_integration""]",,False,boundary_t3,,,V4_BOUNDARY_T3,,,aug_v4,boundary_t3,False,False,True,False
v4_t3_phase2_style_001,"Prepare a decision memo for hospital GenAI triage. It must synthesize HIPAA, clinical safety, audit trails, vendor retention. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,reasoning,True,1.0,0.75,1.0,0.75,1.0,0.9125,T3,high,,"[""regulatory_compliance"", ""security"", ""ai_governance""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_002,"Prepare a implementation package for hospital GenAI triage. It must synthesize HIPAA, clinical safety, audit trails, vendor retention. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",SYNTHETIC,generation,True,0.75,1.0,1.0,1.0,0.75,0.8875,T3,high,,"[""regulatory_compliance"", ""security"", ""ai_governance""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_003,"Prepare a risk review for hospital GenAI triage. It must synthesize HIPAA, clinical safety, audit trails, vendor retention. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,reasoning,True,1.0,1.0,0.75,1.0,1.0,0.95,T3,high,,"[""regulatory_compliance"", ""security"", ""ai_governance""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_004,"Prepare a executive briefing for hospital GenAI triage. It must synthesize HIPAA, clinical safety, audit trails, vendor retention. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,generation,True,1.0,1.0,1.0,1.0,0.75,0.975,T3,high,,"[""regulatory_compliance"", ""security"", ""ai_governance""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_005,"Prepare a architecture recommendation for hospital GenAI triage. It must synthesize HIPAA, clinical safety, audit trails, vendor retention. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,reasoning,True,1.0,0.75,1.0,0.75,1.0,0.9125,T3,high,,"[""regulatory_compliance"", ""security"", ""ai_governance""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_006,"Prepare a decision memo for global FinOps operating model. It must synthesize AWS and Azure unit economics, forecasting, chargeback, executive KPIs. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",SYNTHETIC,reasoning,True,0.75,1.0,1.0,1.0,0.75,0.8875,T3,high,,"[""finops"", ""cloud_infrastructure""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_007,"Prepare a implementation package for global FinOps operating model. It must synthesize AWS and Azure unit economics, forecasting, chargeback, executive KPIs. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,generation,True,1.0,1.0,0.75,1.0,1.0,0.95,T3,high,,"[""finops"", ""cloud_infrastructure""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_008,"Prepare a risk review for global FinOps operating model. It must synthesize AWS and Azure unit economics, forecasting, chargeback, executive KPIs. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,reasoning,True,1.0,1.0,1.0,1.0,0.75,0.975,T3,high,,"[""finops"", ""cloud_infrastructure""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_009,"Prepare a executive briefing for global FinOps operating model. It must synthesize AWS and Azure unit economics, forecasting, chargeback, executive KPIs. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,generation,True,1.0,0.75,1.0,0.75,1.0,0.9125,T3,high,,"[""finops"", ""cloud_infrastructure""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_010,"Prepare a architecture recommendation for global FinOps operating model. It must synthesize AWS and Azure unit economics, forecasting, chargeback, executive KPIs. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",SYNTHETIC,reasoning,True,0.75,1.0,1.0,1.0,0.75,0.8875,T3,high,,"[""finops"", ""cloud_infrastructure""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_011,"Prepare a decision memo for AI hiring governance. It must synthesize EU AI Act, Workday predictions, bias testing, appeals, regional rollout. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,reasoning,True,1.0,1.0,0.75,1.0,1.0,0.95,T3,high,,"[""hr_tech"", ""ai_governance"", ""regulatory_compliance""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_012,"Prepare a implementation package for AI hiring governance. It must synthesize EU AI Act, Workday predictions, bias testing, appeals, regional rollout. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,generation,True,1.0,1.0,1.0,1.0,0.75,0.975,T3,high,,"[""hr_tech"", ""ai_governance"", ""regulatory_compliance""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_013,"Prepare a risk review for AI hiring governance. It must synthesize EU AI Act, Workday predictions, bias testing, appeals, regional rollout. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,reasoning,True,1.0,0.75,1.0,0.75,1.0,0.9125,T3,high,,"[""hr_tech"", ""ai_governance"", ""regulatory_compliance""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_014,"Prepare a executive briefing for AI hiring governance. It must synthesize EU AI Act, Workday predictions, bias testing, appeals, regional rollout. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",SYNTHETIC,generation,True,0.75,1.0,1.0,1.0,0.75,0.8875,T3,high,,"[""hr_tech"", ""ai_governance"", ""regulatory_compliance""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_015,"Prepare a architecture recommendation for AI hiring governance. It must synthesize EU AI Act, Workday predictions, bias testing, appeals, regional rollout. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,reasoning,True,1.0,1.0,0.75,1.0,1.0,0.95,T3,high,,"[""hr_tech"", ""ai_governance"", ""regulatory_compliance""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_016,"Prepare a decision memo for data mesh migration. It must synthesize Snowflake, Databricks, lineage, ownership, dashboard SLAs, executive adoption. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,reasoning,True,1.0,1.0,1.0,1.0,0.75,0.975,T3,high,,"[""data_engineering"", ""cloud_infrastructure""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_017,"Prepare a implementation package for data mesh migration. It must synthesize Snowflake, Databricks, lineage, ownership, dashboard SLAs, executive adoption. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,generation,True,1.0,0.75,1.0,0.75,1.0,0.9125,T3,high,,"[""data_engineering"", ""cloud_infrastructure""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_018,"Prepare a risk review for data mesh migration. It must synthesize Snowflake, Databricks, lineage, ownership, dashboard SLAs, executive adoption. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",SYNTHETIC,reasoning,True,0.75,1.0,1.0,1.0,0.75,0.8875,T3,high,,"[""data_engineering"", ""cloud_infrastructure""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_019,"Prepare a executive briefing for data mesh migration. It must synthesize Snowflake, Databricks, lineage, ownership, dashboard SLAs, executive adoption. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,generation,True,1.0,1.0,0.75,1.0,1.0,0.95,T3,high,,"[""data_engineering"", ""cloud_infrastructure""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_020,"Prepare a architecture recommendation for data mesh migration. It must synthesize Snowflake, Databricks, lineage, ownership, dashboard SLAs, executive adoption. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,reasoning,True,1.0,1.0,1.0,1.0,0.75,0.975,T3,high,,"[""data_engineering"", ""cloud_infrastructure""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_021,"Prepare a decision memo for zero-trust board roadmap. It must synthesize identity sprawl, audit findings, vendor risk, phased funding. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,reasoning,True,1.0,0.75,1.0,0.75,1.0,0.9125,T3,high,,"[""security"", ""vendor_analysis""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_022,"Prepare a implementation package for zero-trust board roadmap. It must synthesize identity sprawl, audit findings, vendor risk, phased funding. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",SYNTHETIC,generation,True,0.75,1.0,1.0,1.0,0.75,0.8875,T3,high,,"[""security"", ""vendor_analysis""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_023,"Prepare a risk review for zero-trust board roadmap. It must synthesize identity sprawl, audit findings, vendor risk, phased funding. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,reasoning,True,1.0,1.0,0.75,1.0,1.0,0.95,T3,high,,"[""security"", ""vendor_analysis""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_024,"Prepare a executive briefing for zero-trust board roadmap. It must synthesize identity sprawl, audit findings, vendor risk, phased funding. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,generation,True,1.0,1.0,1.0,1.0,0.75,0.975,T3,high,,"[""security"", ""vendor_analysis""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_025,"Prepare a architecture recommendation for zero-trust board roadmap. It must synthesize identity sprawl, audit findings, vendor risk, phased funding. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,reasoning,True,1.0,0.75,1.0,0.75,1.0,0.9125,T3,high,,"[""security"", ""vendor_analysis""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_026,"Prepare a decision memo for supply-chain risk platform. It must synthesize supplier concentration, geopolitical exposure, inventory policy, control tower design. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",SYNTHETIC,reasoning,True,0.75,1.0,1.0,1.0,0.75,0.8875,T3,high,,"[""supply_chain"", ""market_research""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_027,"Prepare a implementation package for supply-chain risk platform. It must synthesize supplier concentration, geopolitical exposure, inventory policy, control tower design. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,generation,True,1.0,1.0,0.75,1.0,1.0,0.95,T3,high,,"[""supply_chain"", ""market_research""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_028,"Prepare a risk review for supply-chain risk platform. It must synthesize supplier concentration, geopolitical exposure, inventory policy, control tower design. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,reasoning,True,1.0,1.0,1.0,1.0,0.75,0.975,T3,high,,"[""supply_chain"", ""market_research""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_029,"Prepare a executive briefing for supply-chain risk platform. It must synthesize supplier concentration, geopolitical exposure, inventory policy, control tower design. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,generation,True,1.0,0.75,1.0,0.75,1.0,0.9125,T3,high,,"[""supply_chain"", ""market_research""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_030,"Prepare a architecture recommendation for supply-chain risk platform. It must synthesize supplier concentration, geopolitical exposure, inventory policy, control tower design. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",SYNTHETIC,reasoning,True,0.75,1.0,1.0,1.0,0.75,0.8875,T3,high,,"[""supply_chain"", ""market_research""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_031,"Prepare a decision memo for GenAI vendor RFP. It must synthesize model quality, legal terms, data residency, retention, evaluation scoring. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,reasoning,True,1.0,1.0,0.75,1.0,1.0,0.95,T3,high,,"[""vendor_analysis"", ""ai_governance"", ""security""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_032,"Prepare a implementation package for GenAI vendor RFP. It must synthesize model quality, legal terms, data residency, retention, evaluation scoring. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,generation,True,1.0,1.0,1.0,1.0,0.75,0.975,T3,high,,"[""vendor_analysis"", ""ai_governance"", ""security""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_033,"Prepare a risk review for GenAI vendor RFP. It must synthesize model quality, legal terms, data residency, retention, evaluation scoring. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,reasoning,True,1.0,0.75,1.0,0.75,1.0,0.9125,T3,high,,"[""vendor_analysis"", ""ai_governance"", ""security""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_034,"Prepare a executive briefing for GenAI vendor RFP. It must synthesize model quality, legal terms, data residency, retention, evaluation scoring. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",SYNTHETIC,generation,True,0.75,1.0,1.0,1.0,0.75,0.8875,T3,high,,"[""vendor_analysis"", ""ai_governance"", ""security""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_035,"Prepare a architecture recommendation for GenAI vendor RFP. It must synthesize model quality, legal terms, data residency, retention, evaluation scoring. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,reasoning,True,1.0,1.0,0.75,1.0,1.0,0.95,T3,high,,"[""vendor_analysis"", ""ai_governance"", ""security""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_036,"Prepare a decision memo for multi-cloud resilience. It must synthesize regional failover, compliance evidence, cost tradeoffs, operating ownership. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,reasoning,True,1.0,1.0,1.0,1.0,0.75,0.975,T3,high,,"[""cloud_infrastructure"", ""regulatory_compliance"", ""finops""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_037,"Prepare a implementation package for multi-cloud resilience. It must synthesize regional failover, compliance evidence, cost tradeoffs, operating ownership. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,generation,True,1.0,0.75,1.0,0.75,1.0,0.9125,T3,high,,"[""cloud_infrastructure"", ""regulatory_compliance"", ""finops""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_038,"Prepare a risk review for multi-cloud resilience. It must synthesize regional failover, compliance evidence, cost tradeoffs, operating ownership. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",SYNTHETIC,reasoning,True,0.75,1.0,1.0,1.0,0.75,0.8875,T3,high,,"[""cloud_infrastructure"", ""regulatory_compliance"", ""finops""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
v4_t3_phase2_style_039,"Prepare a executive briefing for multi-cloud resilience. It must synthesize regional failover, compliance evidence, cost tradeoffs, operating ownership. Include alternatives, quantified tradeoffs, stakeholder impacts, governance controls, rollout phases, and a final recommendation.",STRATEGIC,generation,True,1.0,1.0,0.75,1.0,1.0,0.95,T3,high,,"[""cloud_infrastructure"", ""regulatory_compliance"", ""finops""]",,False,phase2_style_t3,,,V4_PHASE2_STYLE_T3,,,aug_v4,phase2_style_t3,False,False,False,False
