id,prompt,intent,task_type,reasoning_chain_detected,d1,d2,d3,d4,d5,complexity_score,tier,complexity,original_complexity,research_signals,confidence,low_confidence_flag,task_description,expected_answer,prompting_techniques,prompt_type,phrasing_style,domain,source
aug_v3_t3_011,"Classify the following portfolio items for multi-cloud FinOps into risk tiers and investment priorities. Explain the criteria and apply them to examples involving AWS, Azure, unit economics, and chargeback policy. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 1: emphasize operating model.",STRATEGIC,classification,True,1.0,1.0,0.75,1.0,0.75,0.925,T3,high,,"[""finops"", ""cloud_infrastructure"", ""vendor_analysis""]",,False,Phase2-style T3 prompt for multi-cloud FinOps,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_012,"Generate SPARQL queries for a knowledge graph about multi-cloud FinOps. The ontology includes vendors, controls, risks, systems, owners, and evidence related to AWS, Azure, unit economics, and chargeback policy. Include prefixes and explain each query. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 2: emphasize risk quantification.",SYNTHETIC,sparql_generation,True,0.75,1.0,1.0,1.0,0.75,0.8875,T3,high,,"[""finops"", ""cloud_infrastructure"", ""vendor_analysis""]",,False,Phase2-style T3 prompt for multi-cloud FinOps,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_013,"Create a complete implementation package for multi-cloud FinOps. It must include an executive summary, target-state architecture, operating model, roadmap, RACI, risk register, and migration plan covering AWS, Azure, unit economics, and chargeback policy. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 3: emphasize vendor tradeoffs.",STRATEGIC,generation,True,1.0,1.0,1.0,1.0,1.0,1.0,T3,high,,"[""finops"", ""cloud_infrastructure"", ""vendor_analysis""]",,False,Phase2-style T3 prompt for multi-cloud FinOps,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_014,"Design Python pseudocode and SQL validation checks for multi-cloud FinOps. The solution must process governance evidence, score risk, generate audit-ready reports, and handle edge cases involving AWS, Azure, unit economics, and chargeback policy. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 4: emphasize timeline sequencing.",STRATEGIC,coding,True,1.0,0.75,1.0,0.75,1.0,0.9125,T3,high,,"[""finops"", ""cloud_infrastructure"", ""vendor_analysis""]",,False,Phase2-style T3 prompt for multi-cloud FinOps,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_015,"Reformat the raw policy notes for multi-cloud FinOps into a strict JSON schema plus a markdown executive summary. Preserve all controls, exceptions, owners, dates, and evidence fields related to AWS, Azure, unit economics, and chargeback policy. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 5: emphasize governance controls.",STRATEGIC,formatting,True,1.0,0.75,0.75,1.0,1.0,0.9,T3,high,,"[""finops"", ""cloud_infrastructure"", ""vendor_analysis""]",,False,Phase2-style T3 prompt for multi-cloud FinOps,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_016,"Design a strategic recommendation for multi-cloud FinOps. The board needs a decision memo that synthesizes AWS, Azure, unit economics, and chargeback policy. Include options, tradeoffs, phased risks, success metrics, and a final recommendation. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 6: emphasize operating model.",STRATEGIC,reasoning,True,1.0,1.0,0.75,1.0,0.75,0.925,T3,high,,"[""finops"", ""cloud_infrastructure"", ""vendor_analysis""]",,False,Phase2-style T3 prompt for multi-cloud FinOps,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_017,"Summarize the attached executive packet for multi-cloud FinOps, then turn it into a board-ready brief. The packet covers AWS, Azure, unit economics, and chargeback policy. Include key decisions, unresolved risks, evidence gaps, and recommended next actions. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 7: emphasize risk quantification.",SYNTHETIC,summarisation,True,0.75,1.0,1.0,1.0,0.75,0.8875,T3,high,,"[""finops"", ""cloud_infrastructure"", ""vendor_analysis""]",,False,Phase2-style T3 prompt for multi-cloud FinOps,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_018,"Classify the following portfolio items for multi-cloud FinOps into risk tiers and investment priorities. Explain the criteria and apply them to examples involving AWS, Azure, unit economics, and chargeback policy. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 8: emphasize vendor tradeoffs.",STRATEGIC,classification,True,1.0,1.0,1.0,1.0,1.0,1.0,T3,high,,"[""finops"", ""cloud_infrastructure"", ""vendor_analysis""]",,False,Phase2-style T3 prompt for multi-cloud FinOps,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_019,"Generate SPARQL queries for a knowledge graph about multi-cloud FinOps. The ontology includes vendors, controls, risks, systems, owners, and evidence related to AWS, Azure, unit economics, and chargeback policy. Include prefixes and explain each query. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 9: emphasize timeline sequencing.",STRATEGIC,sparql_generation,True,1.0,0.75,1.0,0.75,1.0,0.9125,T3,high,,"[""finops"", ""cloud_infrastructure"", ""vendor_analysis""]",,False,Phase2-style T3 prompt for multi-cloud FinOps,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_020,"Create a complete implementation package for multi-cloud FinOps. It must include an executive summary, target-state architecture, operating model, roadmap, RACI, risk register, and migration plan covering AWS, Azure, unit economics, and chargeback policy. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 10: emphasize governance controls.",STRATEGIC,generation,True,1.0,0.75,0.75,1.0,1.0,0.9,T3,high,,"[""finops"", ""cloud_infrastructure"", ""vendor_analysis""]",,False,Phase2-style T3 prompt for multi-cloud FinOps,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_021,"Design a strategic recommendation for supply chain resilience. The board needs a decision memo that synthesizes supplier risk, inventory buffers, and geopolitical exposure. Include options, tradeoffs, phased risks, success metrics, and a final recommendation. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 1: emphasize operating model.",STRATEGIC,reasoning,True,1.0,1.0,0.75,1.0,0.75,0.925,T3,high,,"[""supply_chain"", ""market_research""]",,False,Phase2-style T3 prompt for supply chain resilience,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_022,"Summarize the attached executive packet for supply chain resilience, then turn it into a board-ready brief. The packet covers supplier risk, inventory buffers, and geopolitical exposure. Include key decisions, unresolved risks, evidence gaps, and recommended next actions. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 2: emphasize risk quantification.",SYNTHETIC,summarisation,True,0.75,1.0,1.0,1.0,0.75,0.8875,T3,high,,"[""supply_chain"", ""market_research""]",,False,Phase2-style T3 prompt for supply chain resilience,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_023,"Classify the following portfolio items for supply chain resilience into risk tiers and investment priorities. Explain the criteria and apply them to examples involving supplier risk, inventory buffers, and geopolitical exposure. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 3: emphasize vendor tradeoffs.",STRATEGIC,classification,True,1.0,1.0,1.0,1.0,1.0,1.0,T3,high,,"[""supply_chain"", ""market_research""]",,False,Phase2-style T3 prompt for supply chain resilience,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_024,"Generate SPARQL queries for a knowledge graph about supply chain resilience. The ontology includes vendors, controls, risks, systems, owners, and evidence related to supplier risk, inventory buffers, and geopolitical exposure. Include prefixes and explain each query. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 4: emphasize timeline sequencing.",STRATEGIC,sparql_generation,True,1.0,0.75,1.0,0.75,1.0,0.9125,T3,high,,"[""supply_chain"", ""market_research""]",,False,Phase2-style T3 prompt for supply chain resilience,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_025,"Create a complete implementation package for supply chain resilience. It must include an executive summary, target-state architecture, operating model, roadmap, RACI, risk register, and migration plan covering supplier risk, inventory buffers, and geopolitical exposure. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 5: emphasize governance controls.",STRATEGIC,generation,True,1.0,0.75,0.75,1.0,1.0,0.9,T3,high,,"[""supply_chain"", ""market_research""]",,False,Phase2-style T3 prompt for supply chain resilience,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_026,"Design Python pseudocode and SQL validation checks for supply chain resilience. The solution must process governance evidence, score risk, generate audit-ready reports, and handle edge cases involving supplier risk, inventory buffers, and geopolitical exposure. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 6: emphasize operating model.",STRATEGIC,coding,True,1.0,1.0,0.75,1.0,0.75,0.925,T3,high,,"[""supply_chain"", ""market_research""]",,False,Phase2-style T3 prompt for supply chain resilience,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_027,"Reformat the raw policy notes for supply chain resilience into a strict JSON schema plus a markdown executive summary. Preserve all controls, exceptions, owners, dates, and evidence fields related to supplier risk, inventory buffers, and geopolitical exposure. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 7: emphasize risk quantification.",SYNTHETIC,formatting,True,0.75,1.0,1.0,1.0,0.75,0.8875,T3,high,,"[""supply_chain"", ""market_research""]",,False,Phase2-style T3 prompt for supply chain resilience,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_028,"Design a strategic recommendation for supply chain resilience. The board needs a decision memo that synthesizes supplier risk, inventory buffers, and geopolitical exposure. Include options, tradeoffs, phased risks, success metrics, and a final recommendation. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 8: emphasize vendor tradeoffs.",STRATEGIC,reasoning,True,1.0,1.0,1.0,1.0,1.0,1.0,T3,high,,"[""supply_chain"", ""market_research""]",,False,Phase2-style T3 prompt for supply chain resilience,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_029,"Summarize the attached executive packet for supply chain resilience, then turn it into a board-ready brief. The packet covers supplier risk, inventory buffers, and geopolitical exposure. Include key decisions, unresolved risks, evidence gaps, and recommended next actions. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 9: emphasize timeline sequencing.",STRATEGIC,summarisation,True,1.0,0.75,1.0,0.75,1.0,0.9125,T3,high,,"[""supply_chain"", ""market_research""]",,False,Phase2-style T3 prompt for supply chain resilience,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_030,"Classify the following portfolio items for supply chain resilience into risk tiers and investment priorities. Explain the criteria and apply them to examples involving supplier risk, inventory buffers, and geopolitical exposure. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 10: emphasize governance controls.",STRATEGIC,classification,True,1.0,0.75,0.75,1.0,1.0,0.9,T3,high,,"[""supply_chain"", ""market_research""]",,False,Phase2-style T3 prompt for supply chain resilience,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_031,"Design Python pseudocode and SQL validation checks for HR analytics governance. The solution must process governance evidence, score risk, generate audit-ready reports, and handle edge cases involving EU AI Act, Workday, bias testing, and employee appeals. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 1: emphasize operating model.",STRATEGIC,coding,True,1.0,1.0,0.75,1.0,0.75,0.925,T3,high,,"[""hr_tech"", ""regulatory_compliance"", ""ai_governance""]",,False,Phase2-style T3 prompt for HR analytics governance,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_032,"Reformat the raw policy notes for HR analytics governance into a strict JSON schema plus a markdown executive summary. Preserve all controls, exceptions, owners, dates, and evidence fields related to EU AI Act, Workday, bias testing, and employee appeals. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 2: emphasize risk quantification.",SYNTHETIC,formatting,True,0.75,1.0,1.0,1.0,0.75,0.8875,T3,high,,"[""hr_tech"", ""regulatory_compliance"", ""ai_governance""]",,False,Phase2-style T3 prompt for HR analytics governance,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_033,"Design a strategic recommendation for HR analytics governance. The board needs a decision memo that synthesizes EU AI Act, Workday, bias testing, and employee appeals. Include options, tradeoffs, phased risks, success metrics, and a final recommendation. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 3: emphasize vendor tradeoffs.",STRATEGIC,reasoning,True,1.0,1.0,1.0,1.0,1.0,1.0,T3,high,,"[""hr_tech"", ""regulatory_compliance"", ""ai_governance""]",,False,Phase2-style T3 prompt for HR analytics governance,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_034,"Summarize the attached executive packet for HR analytics governance, then turn it into a board-ready brief. The packet covers EU AI Act, Workday, bias testing, and employee appeals. Include key decisions, unresolved risks, evidence gaps, and recommended next actions. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 4: emphasize timeline sequencing.",STRATEGIC,summarisation,True,1.0,0.75,1.0,0.75,1.0,0.9125,T3,high,,"[""hr_tech"", ""regulatory_compliance"", ""ai_governance""]",,False,Phase2-style T3 prompt for HR analytics governance,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_035,"Classify the following portfolio items for HR analytics governance into risk tiers and investment priorities. Explain the criteria and apply them to examples involving EU AI Act, Workday, bias testing, and employee appeals. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 5: emphasize governance controls.",STRATEGIC,classification,True,1.0,0.75,0.75,1.0,1.0,0.9,T3,high,,"[""hr_tech"", ""regulatory_compliance"", ""ai_governance""]",,False,Phase2-style T3 prompt for HR analytics governance,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_036,"Generate SPARQL queries for a knowledge graph about HR analytics governance. The ontology includes vendors, controls, risks, systems, owners, and evidence related to EU AI Act, Workday, bias testing, and employee appeals. Include prefixes and explain each query. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 6: emphasize operating model.",STRATEGIC,sparql_generation,True,1.0,1.0,0.75,1.0,0.75,0.925,T3,high,,"[""hr_tech"", ""regulatory_compliance"", ""ai_governance""]",,False,Phase2-style T3 prompt for HR analytics governance,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_037,"Create a complete implementation package for HR analytics governance. It must include an executive summary, target-state architecture, operating model, roadmap, RACI, risk register, and migration plan covering EU AI Act, Workday, bias testing, and employee appeals. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 7: emphasize risk quantification.",SYNTHETIC,generation,True,0.75,1.0,1.0,1.0,0.75,0.8875,T3,high,,"[""hr_tech"", ""regulatory_compliance"", ""ai_governance""]",,False,Phase2-style T3 prompt for HR analytics governance,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_038,"Design Python pseudocode and SQL validation checks for HR analytics governance. The solution must process governance evidence, score risk, generate audit-ready reports, and handle edge cases involving EU AI Act, Workday, bias testing, and employee appeals. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 8: emphasize vendor tradeoffs.",STRATEGIC,coding,True,1.0,1.0,1.0,1.0,1.0,1.0,T3,high,,"[""hr_tech"", ""regulatory_compliance"", ""ai_governance""]",,False,Phase2-style T3 prompt for HR analytics governance,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_039,"Reformat the raw policy notes for HR analytics governance into a strict JSON schema plus a markdown executive summary. Preserve all controls, exceptions, owners, dates, and evidence fields related to EU AI Act, Workday, bias testing, and employee appeals. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 9: emphasize timeline sequencing.",STRATEGIC,formatting,True,1.0,0.75,1.0,0.75,1.0,0.9125,T3,high,,"[""hr_tech"", ""regulatory_compliance"", ""ai_governance""]",,False,Phase2-style T3 prompt for HR analytics governance,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_040,"Design a strategic recommendation for HR analytics governance. The board needs a decision memo that synthesizes EU AI Act, Workday, bias testing, and employee appeals. Include options, tradeoffs, phased risks, success metrics, and a final recommendation. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 10: emphasize governance controls.",STRATEGIC,reasoning,True,1.0,0.75,0.75,1.0,1.0,0.9,T3,high,,"[""hr_tech"", ""regulatory_compliance"", ""ai_governance""]",,False,Phase2-style T3 prompt for HR analytics governance,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_041,"Generate SPARQL queries for a knowledge graph about data platform modernization. The ontology includes vendors, controls, risks, systems, owners, and evidence related to Snowflake, Databricks, lineage, quality SLAs, and migration risk. Include prefixes and explain each query. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 1: emphasize operating model.",STRATEGIC,sparql_generation,True,1.0,1.0,0.75,1.0,0.75,0.925,T3,high,,"[""data_engineering"", ""cloud_infrastructure""]",,False,Phase2-style T3 prompt for data platform modernization,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_042,"Create a complete implementation package for data platform modernization. It must include an executive summary, target-state architecture, operating model, roadmap, RACI, risk register, and migration plan covering Snowflake, Databricks, lineage, quality SLAs, and migration risk. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 2: emphasize risk quantification.",SYNTHETIC,generation,True,0.75,1.0,1.0,1.0,0.75,0.8875,T3,high,,"[""data_engineering"", ""cloud_infrastructure""]",,False,Phase2-style T3 prompt for data platform modernization,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_043,"Design Python pseudocode and SQL validation checks for data platform modernization. The solution must process governance evidence, score risk, generate audit-ready reports, and handle edge cases involving Snowflake, Databricks, lineage, quality SLAs, and migration risk. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 3: emphasize vendor tradeoffs.",STRATEGIC,coding,True,1.0,1.0,1.0,1.0,1.0,1.0,T3,high,,"[""data_engineering"", ""cloud_infrastructure""]",,False,Phase2-style T3 prompt for data platform modernization,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_044,"Reformat the raw policy notes for data platform modernization into a strict JSON schema plus a markdown executive summary. Preserve all controls, exceptions, owners, dates, and evidence fields related to Snowflake, Databricks, lineage, quality SLAs, and migration risk. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 4: emphasize timeline sequencing.",STRATEGIC,formatting,True,1.0,0.75,1.0,0.75,1.0,0.9125,T3,high,,"[""data_engineering"", ""cloud_infrastructure""]",,False,Phase2-style T3 prompt for data platform modernization,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_045,"Design a strategic recommendation for data platform modernization. The board needs a decision memo that synthesizes Snowflake, Databricks, lineage, quality SLAs, and migration risk. Include options, tradeoffs, phased risks, success metrics, and a final recommendation. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 5: emphasize governance controls.",STRATEGIC,reasoning,True,1.0,0.75,0.75,1.0,1.0,0.9,T3,high,,"[""data_engineering"", ""cloud_infrastructure""]",,False,Phase2-style T3 prompt for data platform modernization,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_046,"Summarize the attached executive packet for data platform modernization, then turn it into a board-ready brief. The packet covers Snowflake, Databricks, lineage, quality SLAs, and migration risk. Include key decisions, unresolved risks, evidence gaps, and recommended next actions. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 6: emphasize operating model.",STRATEGIC,summarisation,True,1.0,1.0,0.75,1.0,0.75,0.925,T3,high,,"[""data_engineering"", ""cloud_infrastructure""]",,False,Phase2-style T3 prompt for data platform modernization,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_047,"Classify the following portfolio items for data platform modernization into risk tiers and investment priorities. Explain the criteria and apply them to examples involving Snowflake, Databricks, lineage, quality SLAs, and migration risk. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 7: emphasize risk quantification.",SYNTHETIC,classification,True,0.75,1.0,1.0,1.0,0.75,0.8875,T3,high,,"[""data_engineering"", ""cloud_infrastructure""]",,False,Phase2-style T3 prompt for data platform modernization,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_048,"Generate SPARQL queries for a knowledge graph about data platform modernization. The ontology includes vendors, controls, risks, systems, owners, and evidence related to Snowflake, Databricks, lineage, quality SLAs, and migration risk. Include prefixes and explain each query. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 8: emphasize vendor tradeoffs.",STRATEGIC,sparql_generation,True,1.0,1.0,1.0,1.0,1.0,1.0,T3,high,,"[""data_engineering"", ""cloud_infrastructure""]",,False,Phase2-style T3 prompt for data platform modernization,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_049,"Create a complete implementation package for data platform modernization. It must include an executive summary, target-state architecture, operating model, roadmap, RACI, risk register, and migration plan covering Snowflake, Databricks, lineage, quality SLAs, and migration risk. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 9: emphasize timeline sequencing.",STRATEGIC,generation,True,1.0,0.75,1.0,0.75,1.0,0.9125,T3,high,,"[""data_engineering"", ""cloud_infrastructure""]",,False,Phase2-style T3 prompt for data platform modernization,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_050,"Design Python pseudocode and SQL validation checks for data platform modernization. The solution must process governance evidence, score risk, generate audit-ready reports, and handle edge cases involving Snowflake, Databricks, lineage, quality SLAs, and migration risk. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 10: emphasize governance controls.",STRATEGIC,coding,True,1.0,0.75,0.75,1.0,1.0,0.9,T3,high,,"[""data_engineering"", ""cloud_infrastructure""]",,False,Phase2-style T3 prompt for data platform modernization,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_051,"Summarize the attached executive packet for cybersecurity transformation, then turn it into a board-ready brief. The packet covers zero trust, identity governance, audit findings, and board risk. Include key decisions, unresolved risks, evidence gaps, and recommended next actions. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 1: emphasize operating model.",STRATEGIC,summarisation,True,1.0,1.0,0.75,1.0,0.75,0.925,T3,high,,"[""security"", ""regulatory_compliance""]",,False,Phase2-style T3 prompt for cybersecurity transformation,,,AUGMENTED_T3,,,aug_v3
aug_v3_t3_052,"Classify the following portfolio items for cybersecurity transformation into risk tiers and investment priorities. Explain the criteria and apply them to examples involving zero trust, identity governance, audit findings, and board risk. Make the output detailed enough for executive, technical, legal, and operating stakeholders. Scenario variant 2: emphasize risk quantification.",SYNTHETIC,classification,True,0.75,1.0,1.0,1.0,0.75,0.8875,T3,high,,"[""security"", ""regulatory_compliance""]",,False,Phase2-style T3 prompt for cybersecurity transformation,,,AUGMENTED_T3,,,aug_v3
