prompt,use_case,prompt_complexity,clarity,old_prompt_complexity,complexity_reason,label_source
"A chemical engineer is designing a reactor for a first-order irreversible reaction A→B. The rate constant k=0.35 min⁻¹. Feed concentration CA0=2.0 mol/L. Target conversion X=0.92. (1) Calculate the required volume for a CSTR (continuous stirred tank reactor). (2) Calculate the required volume for a PFR (plug flow reactor). (3) Compare the two volumes and explain why a PFR is more efficient for this reaction order. (4) If two equal-volume CSTRs are placed in series, what conversion is achieved? Volumetric flow rate = 5 L/min.",reasoning,high,CLEAR,high,"This prompt requires advanced chemical engineering knowledge, multiple calculations (CSTR, PFR, series reactors), comparison and explanation, and understanding of reactor design principles. It involves several interrelated steps and technical depth.",openai:gpt-4.1
"A city's population grows at 3% per year. Currently 850,000 people. A neighbouring city's population shrinks at 1.5% per year from 1,100,000. In how many years will the first city's population exceed the second city's? Use year-by-year estimation or logarithmic reasoning, and explain your method.",reasoning,mid,CLEAR,mid,"This prompt requires modeling two exponential growth/decay processes, comparing them, and solving for the intersection point. It involves moderate mathematical reasoning and explanation, but is bounded in scope.",openai:gpt-4.1
"A civil engineer is designing a retaining wall to hold back a soil mass. Soil properties: unit weight γ=18 kN/m³, angle of internal friction φ=30°, cohesion c=0. Wall height H=5m. (1) Calculate the active earth pressure coefficient Ka using Rankine's theory. (2) Compute the total active thrust per unit length and its point of application. (3) Check the factor of safety against sliding assuming the base friction angle δ=25° and the wall self-weight is 120 kN/m. (4) Check the factor of safety against overturning about the toe. Show all moment arms.",reasoning,high,CLEAR,high,"This prompt requires multi-step geotechnical engineering calculations (earth pressure, thrust, safety factors), application of theory, and structural analysis. It involves several interacting components and advanced reasoning.",openai:gpt-4.1
A clock shows 3:15. What is the angle between the hour hand and the minute hand? Show your reasoning about how clock hands move over time.,reasoning,low,CLEAR,low,This is a classic clock angle problem requiring basic geometry and arithmetic. The reasoning is straightforward and well-bounded.,openai:gpt-4.1
"A company has three departments: Sales, Engineering, and Operations. Sales has 40 employees and generates $2.4M revenue. Engineering has 25 employees and generates $1.8M revenue. Operations has 35 employees and generates $0.9M revenue. Calculate revenue per employee for each department. Then determine which department should receive priority budget if the goal is to maximise revenue per additional hire. Show your full reasoning including any assumptions you make.",reasoning,mid,CLEAR,mid,"This prompt requires calculation, comparison, and a reasoned recommendation based on assumptions. It involves several steps and some business reasoning, but is not deeply technical.",openai:gpt-4.1
"A company made a profit of $45,000 last year. This year profit increased by 20%. Next year they expect a 10% decrease from this year's profit. What is the expected profit for next year? Show all steps.",reasoning,low,CLEAR,low,"This is a simple percentage increase/decrease calculation over two years, requiring only basic arithmetic and step-by-step computation.",openai:gpt-4.1
"A compiler engineer is implementing a recursive descent parser. The grammar is: E → T (('+' | '-') T)*, T → F (('*' | '/') F)*, F → '(' E ')' | NUMBER. (1) Write the parse functions for E, T, and F in pseudocode handling left associativity correctly. (2) Trace the parse tree for the expression: 3 + 4 * (2 - 1). (3) Explain how operator precedence is encoded in the grammar structure itself. (4) Describe one ambiguity that would arise if E were defined as E → E '+' E instead.",reasoning,high,CLEAR,high,"This prompt requires knowledge of compiler design, recursive descent parsing, grammar analysis, operator precedence, ambiguity, and code structure. It involves multiple advanced steps and technical depth.",openai:gpt-4.1
"A cone has a radius of 6cm and a height of 8cm. A sphere has the same volume as this cone. What is the radius of the sphere? Show the volume formulae for both, equate them, and solve for the sphere's radius.",reasoning,low,CLEAR,mid,This is a direct geometry problem involving equating volumes and solving for a variable. The formulas are standard and the reasoning is straightforward.,openai:gpt-4.1
A control systems engineer is analysing a closed-loop feedback system with open-loop transfer function G(s) = 10 / [s(s+2)(s+5)]. (1) Find the poles of the open-loop system. (2) Apply the Routh-Hurwitz criterion to determine the range of gain K for which the closed-loop system is stable. (3) Sketch the approximate root locus showing departure from poles and arrival at zeros. (4) Determine the gain margin and explain its physical meaning for this system.,reasoning,high,CLEAR,high,"This prompt requires advanced control systems knowledge, including pole analysis, Routh-Hurwitz criterion, root locus sketching, and gain margin interpretation. It involves multiple technical steps and deep reasoning.",openai:gpt-4.1
"A corporate strategist is applying Porter's Five Forces and a VRIO framework simultaneously to a mid-sized cloud security SaaS company with $45M ARR, 89% gross margins, high customer switching costs due to deep API integrations, and a patent portfolio of 14 active patents. (1) Score each of Porter's Five Forces as low/medium/high with a 3-sentence justification for each. (2) Apply the VRIO framework to 4 company resources and classify each as competitive parity, temporary advantage, or sustained advantage. (3) Synthesise a strategic position statement and identify the single highest-priority threat.",reasoning,high,CLEAR,high,"This prompt requires application of two strategic frameworks (Porter's Five Forces and VRIO), scoring and justifying each, synthesizing a position, and identifying threats. It involves complex, multi-dimensional business reasoning.",openai:gpt-4.1
"A country is deciding whether to adopt a four-day working week nationally. Reason through the economic and social implications from multiple angles — productivity, GDP, employment, wellbeing, and business competitiveness — and arrive at a structured conclusion. State where evidence is weak or contested.",reasoning,high,CLEAR,high,"This prompt requires structured, multi-angle reasoning about economic and social implications, weighing evidence, and synthesizing a conclusion. It is open-ended and requires advanced analysis and synthesis.",openai:gpt-4.1
"A cryptanalyst is analysing a ciphertext encrypted with a Vigenère cipher. The ciphertext is 400 characters long. (1) Describe the Index of Coincidence method step by step to determine the likely key length. (2) Once key length L is determined, explain how frequency analysis on every L-th character recovers each key byte. (3) If the key length is found to be 4, describe the chi-squared statistic calculation used to match each shifted alphabet to English letter frequencies. (4) Explain why the Vigenère cipher was considered unbreakable for centuries and what mathematical insight broke it.",reasoning,high,CLEAR,high,"This prompt requires multi-step, in-depth reasoning about cryptanalysis, including stepwise explanation of the Index of Coincidence, frequency analysis, chi-squared statistic calculation, and historical context. It covers several advanced concepts and expects detailed, technical explanations, making it high complexity.",openai:gpt-4.1
"A cryptography student is implementing RSA encryption manually. Choose two primes p=61 and q=53. (1) Compute n and φ(n). (2) Choose e=17 and verify it is valid. (3) Compute the private key d using the extended Euclidean algorithm, showing every step of the algorithm. (4) Encrypt the message M=65 and then decrypt the ciphertext to verify the result. (5) Explain what property of prime factorisation makes RSA secure and what class of algorithm would break it.",reasoning,high,CLEAR,high,"The prompt requires manual RSA key generation, step-by-step use of the extended Euclidean algorithm, encryption/decryption demonstration, and a security explanation. The need for algorithmic detail, mathematical computation, and cryptographic reasoning makes this a high complexity prompt.",openai:gpt-4.1
"A cyclist and a runner start from the same point at the same time and travel in the same direction. The cyclist travels at 24 km/h and the runner at 8 km/h. After 45 minutes, the cyclist turns around and heads back toward the runner. At what point in time and distance from the start do they meet? Show your reasoning with equations.",reasoning,mid,CLEAR,mid,"This is a classic relative motion problem requiring algebraic setup and solution. While it involves multiple steps and equations, the reasoning is bounded and standard for physics or math, so it is mid complexity.",openai:gpt-4.1
"A data scientist is building a binary classification model. The confusion matrix on the test set is: TP=430, FP=85, FN=70, TN=915. (1) Calculate precision, recall, F1 score, accuracy, and AUC-ROC interpretation guidance. (2) The business cost of a false negative is 5× that of a false positive. Recommend whether the threshold should be adjusted up or down and explain the precision-recall trade-off. (3) Describe two techniques to address class imbalance if the positive class were only 5% of the data.",reasoning,high,CLEAR,high,"The prompt requires calculation of multiple classification metrics, interpretation of AUC-ROC, business cost analysis, threshold adjustment recommendation with trade-off explanation, and techniques for class imbalance. The breadth and depth of statistical and business reasoning required make this high complexity.",openai:gpt-4.1
"A dataset contains the values: 12, 15, 14, 10, 18, 22, 13, 16, 11, 19. Calculate the mean, median, mode, and range. Then identify which measure of central tendency best represents this dataset and justify your reasoning based on the distribution.",reasoning,low,CLEAR,mid,"This prompt asks for basic statistical calculations (mean, median, mode, range) and a simple justification for the best measure of central tendency. The reasoning is straightforward and standard, so it is low complexity.",openai:gpt-4.1
"A factory has two machines. Machine A produces 300 units per day with 2% defect rate. Machine B produces 200 units per day with 3.5% defect rate. All production is pooled. If one unit is selected at random and found defective, what is the probability it came from Machine A? Apply Bayes' theorem and show each step.",reasoning,mid,CLEAR,mid,"The prompt requires application of Bayes' theorem to a real-world scenario with clear steps. While it involves probability and conditional reasoning, the scope is bounded and the steps are standard, making it mid complexity.",openai:gpt-4.1
"A factory produces items at a rate of 200 per hour but 4% are defective. A quality check catches 85% of defective items before shipping. In an 8-hour shift, how many defective items are shipped? Now if the quality check rate improves to 95%, how many defective items are prevented per week assuming 5 working days? Show all stages of reasoning.",reasoning,mid,CLEAR,mid,"Requires multi-step arithmetic reasoning with percentages and time periods, but calculations are straightforward and bounded.",openai:gpt-4.1-mini
"A farmer has chickens and cows. There are 20 heads and 56 legs in total. How many chickens and how many cows are there? Set up and solve the simultaneous equations, explaining each step.",reasoning,low,CLEAR,low,Simple simultaneous equations setup and solution with clear instructions and minimal steps.,openai:gpt-4.1-mini
"A fast-growing tech company is deciding whether to expand into Southeast Asia or Latin America first. Reason through the market entry decision using whatever strategic framework fits best. Make your criteria explicit, apply them to both regions, and give a recommendation with the key risk that could invalidate it.",reasoning,high,CLEAR,high,"Requires strategic framework selection, multi-criteria analysis, risk identification, and recommendation, involving complex reasoning and synthesis.",openai:gpt-4.1-mini
"A financial analyst must value a company using three methods: (1) DCF — project 5 years of free cash flows starting at $4.2M growing at 8% annually, discount at WACC of 11%, and calculate the terminal value using the Gordon Growth Model with a perpetual growth rate of 3%. (2) EV/EBITDA comparable — industry median multiple is 9x, company EBITDA is $3.8M. (3) Precedent transactions — average acquisition premium in the sector is 28% over EV/EBITDA value. Synthesise the three valuations and recommend a fair value range. Show all calculations and flag all assumptions.",reasoning,high,CLEAR,high,"Involves multiple valuation methods with financial modeling, calculations, synthesis, and assumption flagging, requiring advanced domain knowledge and multi-step reasoning.",openai:gpt-4.1-mini
"A game theorist is analysing a 3-player simultaneous game. Players A, B, C each choose either Cooperate (C) or Defect (D). Payoffs are: if all cooperate: (4,4,4). If one defects while two cooperate: defector gets 6, cooperators get 1 each. If two defect while one cooperates: defectors get 3 each, cooperator gets 0. If all defect: (2,2,2). (1) Find all pure strategy Nash equilibria. (2) Explain whether this is a prisoner's dilemma structure. (3) Discuss what mechanism could sustain the cooperative outcome and why repeated interaction changes the analysis.",reasoning,high,CLEAR,high,"Complex game theory analysis including finding Nash equilibria, structural classification, and mechanism design discussion, requiring deep multi-step reasoning.",openai:gpt-4.1-mini
"A government wants to reduce carbon emissions by 40% in 10 years. Reason through which combination of policy interventions would most efficiently achieve this. Consider economic, behavioural, and structural factors. Flag where your reasoning depends on assumptions that could change the conclusion.",reasoning,high,CLEAR,high,"Requires reasoning about policy interventions across economic, behavioral, and structural factors with assumptions and tradeoffs, involving complex multi-dimensional analysis.",openai:gpt-4.1-mini
"A hedge fund manager is evaluating two portfolios over a 5-year period. Portfolio X: annual returns of 12%, -8%, 15%, 6%, 11%. Portfolio Y: annual returns of 7%, 5%, 8%, 6%, 9%. (1) Calculate the arithmetic mean return, geometric mean return, and standard deviation of returns for each portfolio. (2) Calculate the Sharpe ratio for each assuming a risk-free rate of 3%. (3) Explain which portfolio a risk-averse investor should prefer and why the geometric mean is more informative than the arithmetic mean for multi-period returns.",reasoning,mid,CLEAR,high,"Involves multiple statistical calculations and interpretation for portfolio evaluation, requiring moderate multi-step quantitative reasoning.",openai:gpt-4.1-mini
"A hospital system is experiencing increasing patient wait times in the emergency department. The causes are unclear but could involve staffing, patient flow, or demand patterns. Reason through the most likely drivers systematically and propose a prioritised investigation approach, flagging where you need more data.",reasoning,mid,PARTIAL,high,"Requires systematic reasoning about possible causes and prioritization of investigation steps, with some uncertainty and data needs, moderate complexity.",openai:gpt-4.1-mini
"A hotel offers two pricing models: Model A charges $120 per night with a 15% discount for stays over 5 nights. Model B charges $95 per night with no discounts but includes breakfast worth $18 per person per night. For a solo traveller staying 7 nights, which model is cheaper? Show the full cost comparison.",reasoning,low,CLEAR,mid,"Simple cost comparison with basic arithmetic and conditional discount application, straightforward reasoning.",openai:gpt-4.1-mini
"A jar contains 4 red marbles, 6 blue marbles, and 2 green marbles. If you pick one marble at random, what is the probability of picking a blue marble? What is the probability of not picking a red marble? Show your working.",reasoning,low,CLEAR,low,"Basic probability calculation with direct arithmetic, minimal reasoning steps.",openai:gpt-4.1-mini
A ladder 10 metres long leans against a wall. The base of the ladder is 6 metres from the wall. How high up the wall does the ladder reach? Identify the theorem used and show the calculation.,reasoning,low,CLEAR,low,"The prompt requires straightforward application of the Pythagorean theorem and simple calculation, involving one main reasoning step.",openai:gpt-4.1-mini
A light blinks every 4 seconds and another blinks every 6 seconds. They blink together at time zero. After how many seconds do they blink together again? Explain the concept of LCM in your reasoning.,reasoning,low,CLEAR,low,"The prompt asks for calculation of LCM and explanation of the concept, which is a direct reasoning task with minimal complexity.",openai:gpt-4.1-mini
"A logistics company operates 3 warehouses (W1, W2, W3) serving 5 cities. Weekly demand (units): City A=400, B=250, C=310, D=180, E=270. Warehouse capacities: W1=600, W2=500, W3=400. Transport cost per unit ($/unit): W1→A=2, W1→B=3, W1→C=4, W1→D=5, W1→E=6; W2→A=4, W2→B=2, W2→C=3, W2→D=3, W2→E=4; W3→A=6, W3→B=5, W3→C=2, W3→D=2, W3→E=3. Formulate this as a linear programming problem, define the objective function and all constraints explicitly, then solve using the northwest corner method as an initial feasible solution. Compute the total transport cost of your initial solution and identify which routes are most likely improvable using the MODI method. Show every step.",reasoning,high,CLEAR,high,"The prompt involves formulating a linear programming problem with multiple constraints, applying the northwest corner method, computing costs, and analyzing improvements with the MODI method, requiring multi-step complex reasoning and domain knowledge.",openai:gpt-4.1-mini
"A machine learning engineer is implementing backpropagation from scratch for a 2-layer neural network with: input layer 3 neurons, hidden layer 4 neurons with ReLU activation, output layer 1 neuron with sigmoid activation, binary cross-entropy loss. (1) Write out the forward pass equations symbolically. (2) Derive the gradient of the loss with respect to the output layer weights using the chain rule. (3) Derive the gradient with respect to the hidden layer weights including the ReLU derivative. (4) Explain the vanishing gradient problem and why ReLU partially addresses it.",reasoning,high,CLEAR,high,"The prompt requires symbolic derivation of forward pass and gradients for a neural network, application of chain rule, understanding activation derivatives, and explanation of advanced concepts like vanishing gradients, involving deep technical reasoning and multiple steps.",openai:gpt-4.1-mini
A machine learning researcher is comparing L1 (Lasso) and L2 (Ridge) regularisation on a high-dimensional linear regression problem with 500 features and 200 training samples. (1) Write the optimisation objective for both. (2) Explain geometrically why L1 produces sparse solutions and L2 does not. (3) Derive the closed-form solution for Ridge regression. (4) Describe two scenarios — one where L1 is preferred and one where L2 is preferred — with reasoning. (5) Explain what elastic net combines from both and when it is preferred over either alone.,reasoning,high,CLEAR,high,"The prompt demands writing optimization objectives, geometric explanation of regularization effects, derivation of closed-form solutions, scenario analysis, and explanation of elastic net, involving advanced mathematical and conceptual reasoning across multiple steps.",openai:gpt-4.1-mini
"A macroeconomist is modelling the impact of a fiscal stimulus of $200 billion injected into an economy where the marginal propensity to consume (MPC) is 0.75. (1) Calculate the fiscal multiplier and the total change in GDP. (2) Now introduce a tax rate of 20% and a marginal propensity to import of 0.1. Recalculate the multiplier. (3) If the money supply is held constant, explain the crowding-out effect using the IS-LM framework. (4) Compare the effectiveness of fiscal vs monetary policy in a liquidity trap scenario, using the IS-LM diagram logic.",reasoning,high,CLEAR,high,"The prompt requires calculation of fiscal multipliers with multiple parameters, application of IS-LM macroeconomic framework, explanation of crowding-out effects, and policy comparison in liquidity traps, involving complex multi-step economic reasoning and theoretical understanding.",openai:gpt-4.1-mini
"A map has a scale of 1:50,000. Two cities are 8 cm apart on the map. What is the actual distance between them in kilometres? Show the unit conversion reasoning.",reasoning,low,CLEAR,low,"The prompt involves a simple unit conversion and distance calculation using a map scale, requiring straightforward reasoning and minimal steps.",openai:gpt-4.1-mini
"A mechanical engineer is designing a flywheel for energy storage. The flywheel is a solid disk of mass 80 kg and radius 0.6 m. It spins at 1,500 RPM. (1) Calculate the moment of inertia. (2) Calculate the angular velocity in rad/s. (3) Calculate the rotational kinetic energy stored in joules. (4) If the flywheel decelerates uniformly to rest in 45 seconds, calculate the angular deceleration and the braking torque required. Show all formulae and unit conversions.",reasoning,mid,CLEAR,high,"The prompt requires multiple physics calculations including moment of inertia, angular velocity, kinetic energy, angular deceleration, and torque, with formula application and unit conversions, involving moderate multi-step reasoning.",openai:gpt-4.1-mini
A mixture contains 30 litres of milk and water in a 3:2 ratio. How many litres of milk must be added so that the new ratio becomes 2:1? Show the before-and-after ratio reasoning step by step.,reasoning,low,CLEAR,mid,"The prompt asks for ratio adjustment by adding milk, involving basic arithmetic and ratio reasoning with few steps.",openai:gpt-4.1-mini
"A natural language processing engineer is designing a transformer-based text classification system for legal documents. The system must classify 8 document types with imbalanced class distribution (smallest class: 1.2%, largest: 34%). (1) Describe the full fine-tuning pipeline from pre-trained BERT including tokenisation, special tokens, and classification head. (2) Propose and justify a loss function that handles class imbalance. (3) Define 4 evaluation metrics appropriate for this imbalanced multi-class problem and explain what each measures. (4) Describe 3 strategies to prevent overfitting given only 2,400 labelled training examples.",reasoning,high,CLEAR,high,"The prompt involves designing a transformer fine-tuning pipeline, proposing loss functions for class imbalance, defining multiple evaluation metrics, and overfitting prevention strategies, requiring advanced knowledge of NLP, machine learning, and multi-step reasoning.",openai:gpt-4.1-mini
"A network engineer needs to find the shortest path in a weighted directed graph with 7 nodes (A–G) and the following edges: A→B=4, A→C=2, B→D=5, B→C=1, C→B=1, C→D=8, C→E=10, D→E=2, D→F=6, E→G=3, F→G=1. (1) Apply Dijkstra's algorithm from node A, showing the distance table updated at every step. (2) State the shortest path to every node and the path to G explicitly. (3) Identify which edge, if its weight were doubled, would most increase the shortest path from A to G.",reasoning,mid,CLEAR,high,"The prompt requires applying Dijkstra's algorithm step-by-step, identifying shortest paths, and analyzing the impact of changing an edge weight. This involves multiple reasoning steps and some analysis but is bounded and well-defined.",openai:gpt-4.1-mini
A number doubled and then increased by 7 equals 31. A second number tripled and decreased by 4 equals 20. Which number is larger and by how much? Solve and compare.,reasoning,low,CLEAR,low,"The prompt involves solving two simple linear equations and comparing the results, which is straightforward reasoning with minimal steps.",openai:gpt-4.1-mini
"A number is divided by 4, then 12 is added, and the result is 20. What is the original number? Work backwards step by step, explaining each inverse operation.",reasoning,low,CLEAR,low,"The prompt asks for solving a simple linear equation by working backwards step-by-step, a basic reasoning task with one main step.",openai:gpt-4.1-mini
A number when divided by 6 gives a remainder of 4. The same number when divided by 8 gives a remainder of 2. What is the smallest positive integer satisfying both conditions? Show the modular arithmetic reasoning step by step.,reasoning,mid,CLEAR,mid,"The prompt requires modular arithmetic reasoning to find the smallest positive integer satisfying two remainder conditions, involving multiple steps and modular concepts.",openai:gpt-4.1-mini
"A painter can paint a wall in 3 hours. A second painter can paint the same wall in 5 hours. If they work together but the second painter takes a 1-hour break, how long does the whole job take? Show your combined rate reasoning with the break factored in.",reasoning,mid,CLEAR,low,"The prompt involves combined work rate calculations with an additional constraint (a break), requiring multi-step reasoning and careful handling of timing.",openai:gpt-4.1-mini
"A person walks north for 3 km, then east for 4 km. How far are they from their starting point in a straight line? Which geometric principle applies and why?",reasoning,low,CLEAR,low,"The prompt asks for a straightforward distance calculation using a well-known geometric principle (Pythagorean theorem), a simple reasoning task.",openai:gpt-4.1-mini
"A pharmaceutical company is running a double-blind clinical trial for a new drug. The trial has 3 arms: Drug A, Drug B, and Placebo. After 12 weeks, success rates are: Drug A 68% (n=120), Drug B 54% (n=115), Placebo 41% (n=118). (1) Conduct a chi-square test of independence to determine whether treatment outcome is independent of group assignment. Use α=0.05. Show the contingency table, expected frequencies, chi-square statistic, degrees of freedom, and your conclusion. (2) If significance is found, perform pairwise comparisons with Bonferroni correction and state which pairs differ significantly.",reasoning,high,CLEAR,high,"The prompt requires performing a chi-square test with contingency tables, expected frequencies, degrees of freedom, significance testing, and pairwise comparisons with Bonferroni correction, involving advanced statistical analysis and multiple steps.",openai:gpt-4.1-mini
"A phone costs $800. It is on sale for 25% off. After the discount, there is a 10% tax added to the sale price. What is the final price? Explain each operation in order.",reasoning,low,CLEAR,low,"The prompt involves simple percentage calculations with sequential operations, a straightforward arithmetic task.",openai:gpt-4.1-mini
A population of bacteria doubles every 3 hours. At 9:00 AM there are 500 bacteria. At what time will the population first exceed 1 million? Show the exponential reasoning step by step and explain why linear estimation would give a wrong answer here.,reasoning,mid,CLEAR,mid,"The prompt requires exponential growth reasoning, calculating when a population exceeds a threshold, and explaining why linear estimation is incorrect, involving multiple reasoning steps.",openai:gpt-4.1-mini
"A portfolio manager must construct a minimum-variance portfolio from 3 assets. Expected returns: μ₁=8%, μ₂=12%, μ₃=10%. Standard deviations: σ₁=15%, σ₂=22%, σ₃=18%. Correlation matrix: ρ₁₂=0.3, ρ₁₃=0.5, ρ₂₃=0.1. (1) Construct the covariance matrix. (2) Write the Lagrangian for the minimum variance portfolio with weights summing to 1. (3) Solve the system of equations for the optimal weights. (4) Calculate the portfolio variance and standard deviation. (5) Explain how adding a fourth uncorrelated asset would change the efficient frontier.",reasoning,high,CLEAR,high,"The prompt involves constructing a covariance matrix, formulating and solving a Lagrangian optimization problem for portfolio weights, calculating variance and standard deviation, and explaining effects on the efficient frontier, requiring advanced quantitative finance knowledge and multi-step mathematical reasoning.",openai:gpt-4.1-mini
"A principal of $5,000 is invested in two accounts. Account A earns 5% simple interest and Account B earns 4% compound interest annually. After 5 years, which account has more money and by how much? Show both full calculations and explain why the comparison shifts over longer time horizons.",reasoning,mid,CLEAR,mid,"Requires calculation of simple and compound interest, comparison, and explanation of long-term effects; involves multiple steps but straightforward financial math.",openai:gpt-4.1-mini
"A project has three phases. Phase 1 takes 4 weeks with 3 workers. Phase 2 takes 6 weeks with 5 workers. Phase 3 takes 3 weeks with 4 workers. Each worker costs $800 per week. What is the total labour cost? If the budget is $90,000, is the project affordable, and if not, where could workers be reduced first without affecting total duration? Reason through the trade-offs.",reasoning,high,PARTIAL,mid,"Involves multi-phase project cost calculation, budget evaluation, and reasoning about trade-offs to reduce workers without affecting duration; requires multi-step reasoning and constraint handling.",openai:gpt-4.1-mini
"A public health epidemiologist is modelling an infectious disease using the SIR model. Initial population N=100,000. S₀=99,900, I₀=100, R₀=0. Transmission rate β=0.3 per day, recovery rate γ=0.1 per day. (1) Calculate the basic reproduction number R₀. (2) Using Euler's method with Δt=1 day, simulate the first 5 days showing S, I, R values each day. (3) Predict the peak infected population and the day it occurs qualitatively. (4) Calculate the herd immunity threshold and explain its policy implication.",reasoning,high,CLEAR,high,"Requires epidemiological modeling using SIR model, numerical simulation with Euler's method, qualitative prediction, and policy implication explanation; involves advanced multi-step reasoning and domain knowledge.",openai:gpt-4.1-mini
"A quant analyst is pricing a European call option using the Black-Scholes model. Parameters: S=150, K=145, T=0.5 years, r=0.05, σ=0.25. (1) Calculate d₁ and d₂. (2) Look up or approximate N(d₁) and N(d₂) using the standard normal distribution. (3) Calculate the call option price. (4) Calculate the option's delta and explain what it means for hedging. (5) Explain how the price changes if volatility increases to 0.35 and what that implies about vega.",reasoning,high,CLEAR,high,"Involves multiple Black-Scholes calculations, approximations, Greeks calculation, and interpretation of volatility effects; requires advanced financial math and multi-step reasoning.",openai:gpt-4.1-mini
"A quantum computing researcher is explaining Shor's algorithm to a technical audience. (1) Explain the integer factorisation problem and its classical hardness. (2) Describe the quantum period-finding subroutine and how the Quantum Fourier Transform (QFT) is applied. (3) Explain how the period r of f(x) = aˣ mod N is used to find a non-trivial factor of N. (4) Walk through the algorithm for N=15, a=7, showing the steps where classical and quantum parts are used. (5) State the implications for RSA encryption and what post-quantum cryptography approaches address this.",reasoning,high,CLEAR,high,"Requires detailed explanation of Shor's algorithm including classical hardness, quantum subroutines, example walkthrough, and cryptographic implications; involves complex multi-step reasoning and advanced technical concepts.",openai:gpt-4.1-mini
