id,prompt,use_case,clarity,created_at
133,Write something about a day,text-generation,UNCLEAR,2026-03-25 18:25:43.141938+00
134,Create a message about something important,text-generation,UNCLEAR,2026-03-25 18:25:43.476812+00
135,Construct ransom note from magazine,code-generation,CLEAR,2026-03-25 18:27:40.362775+00
136,Check if strings are isomorphic,code-generation,CLEAR,2026-03-25 18:27:40.64209+00
137,Find length of last word in string,code-generation,CLEAR,2026-03-25 18:27:40.921392+00
138,Add one to integer array digits,code-generation,CLEAR,2026-03-25 18:27:41.193735+00
139,Add two binary strings,code-generation,CLEAR,2026-03-25 18:27:41.4768+00
140,Write a paragraph explaining why sleep is important for students with two examples,text-generation,CLEAR,2026-03-25 18:31:08.61091+00
141,Create a message inviting friends to a movie night with time and place mentioned,text-generation,CLEAR,2026-03-25 18:31:09.122981+00
142,Write a short email asking for permission to submit an assignment late,text-generation,CLEAR,2026-03-25 18:31:09.498236+00
143,Generate a short story about a child overcoming fear of speaking in public,text-generation,CLEAR,2026-03-25 18:31:10.014598+00
144,Write a paragraph describing your favorite hobby and why you enjoy it,text-generation,CLEAR,2026-03-25 18:31:10.427287+00
145,What is the capital of France?,text-generation,CLEAR,2026-03-26 01:52:08.693358+00
146,Write a Python function to remove duplicates from a list while preserving order.,text-generation,CLEAR,2026-03-26 01:52:08.926386+00
147,Summarize the main causes of World War I in 5 bullet points.,text-generation,CLEAR,2026-03-26 01:52:09.115864+00
148,Draft a professional email to a client explaining that the project timeline has moved by two weeks.,text-generation,CLEAR,2026-03-26 01:52:09.29836+00
149,Create a SQL query to find the top 10 highest-selling products in the last 30 days.,text-generation,CLEAR,2026-03-26 01:52:09.500167+00
150,Write an email for client update on project status.,text-generation,PARTIAL,2026-03-26 01:52:15.686601+00
151,Build a dashboard for sales with charts and export support.,text-generation,PARTIAL,2026-03-26 01:52:15.896783+00
152,Explain machine learning for beginners.,text-generation,CLEAR,2026-03-26 01:52:16.395377+00
153,Help me prepare a presentation for leadership.,text-generation,PARTIAL,2026-03-26 01:52:16.597342+00
154,Suggest improvements for our website homepage.,text-generation,PARTIAL,2026-03-26 01:52:16.874174+00
155,Fix this code.,text-generation,UNCLEAR,2026-03-26 01:52:21.067139+00
156,Summarize this and make it shorter.,text-generation,UNCLEAR,2026-03-26 01:52:21.270936+00
157,Do it like before but better.,text-generation,UNCLEAR,2026-03-26 01:52:21.471771+00
158,Make it more professional and send quickly.,text-generation,UNCLEAR,2026-03-26 01:52:21.665837+00
159,Need something for the team by tomorrow.,text-generation,UNCLEAR,2026-03-26 01:52:21.866621+00
160,What is the capital of France?,text-generation,CLEAR,2026-03-26 04:14:28.773036+00
161,Write a Python function to remove duplicates from a list while preserving order.,text-generation,CLEAR,2026-03-26 04:14:29.13006+00
162,Summarize the main causes of World War I in 5 bullet points.,text-generation,CLEAR,2026-03-26 04:14:29.343087+00
163,Draft a professional email to a client explaining that the project timeline has moved by two weeks.,text-generation,CLEAR,2026-03-26 04:14:29.672841+00
164,Create a SQL query to find the top 10 highest-selling products in the last 30 days.,text-generation,CLEAR,2026-03-26 04:14:29.953076+00
165,Write an email for client update on project status.,text-generation,PARTIAL,2026-03-26 04:16:04.868613+00
166,Build a dashboard for sales with charts and export support.,text-generation,PARTIAL,2026-03-26 04:16:05.108202+00
167,Explain machine learning for beginners.,text-generation,CLEAR,2026-03-26 04:16:05.303462+00
168,Help me prepare a presentation for leadership.,text-generation,PARTIAL,2026-03-26 04:16:05.708804+00
169,Suggest improvements for our website homepage.,text-generation,PARTIAL,2026-03-26 04:16:05.905835+00
170,Fix this code.,text-generation,UNCLEAR,2026-03-26 04:17:42.865653+00
171,Summarize this and make it shorter.,text-generation,UNCLEAR,2026-03-26 04:17:43.106676+00
172,Do it like before but better.,text-generation,UNCLEAR,2026-03-26 04:17:43.480907+00
173,Make it more professional and send quickly.,text-generation,UNCLEAR,2026-03-26 04:17:43.696766+00
174,Need something for the team by tomorrow.,text-generation,UNCLEAR,2026-03-26 04:17:43.910625+00
175,"If a train leaves Station A at 9:00 AM travelling at 60 km/h and another train leaves Station B at 10:00 AM travelling at 80 km/h toward Station A, and the two stations are 280 km apart, at what time do the trains meet? Show your reasoning step by step.",reasoning,CLEAR,2026-03-26 04:42:10.356061+00
176,"A store sells apples for $1.20 each and oranges for $0.80 each. If Sarah buys 5 apples and 3 oranges, how much does she spend in total? Now if she has $10, how much change does she receive? Explain each step.",reasoning,CLEAR,2026-03-26 04:42:10.784765+00
177,"A rectangle has a length that is 3 times its width. If the perimeter of the rectangle is 48 cm, what are the dimensions of the rectangle? Walk through your reasoning clearly.",reasoning,CLEAR,2026-03-26 04:42:10.990898+00
178,Tom is older than Sarah. Sarah is older than Mike. Mike is 14 years old. Tom is twice Sarah's age. Sarah is 18. Is the statement that Tom is the oldest person correct? Explain your reasoning.,reasoning,CLEAR,2026-03-26 04:42:11.195687+00
179,"A jar contains 4 red marbles, 6 blue marbles, and 2 green marbles. If you pick one marble at random, what is the probability of picking a blue marble? What is the probability of not picking a red marble? Show your working.",reasoning,CLEAR,2026-03-26 04:42:11.398601+00
180,"If all mammals are warm-blooded, and a dolphin is a mammal, what can you conclude about dolphins? Now if someone claims that all warm-blooded animals are mammals, explain why that reasoning is flawed.",reasoning,CLEAR,2026-03-26 04:43:43.609217+00
181,A recipe calls for 2 cups of flour to make 12 cookies. How many cups of flour are needed to make 30 cookies? Show the proportion calculation step by step.,reasoning,CLEAR,2026-03-26 04:43:43.874164+00
182,"A phone costs $800. It is on sale for 25% off. After the discount, there is a 10% tax added to the sale price. What is the final price? Explain each operation in order.",reasoning,CLEAR,2026-03-26 04:43:44.071937+00
183,Three friends split a restaurant bill equally. The bill is $87 before tip. They leave a 15% tip. What does each person pay in total? Show your reasoning at each stage.,reasoning,CLEAR,2026-03-26 04:43:44.287918+00
184,"If it takes 4 workers 6 days to complete a task, how many days would it take 8 workers to complete the same task, assuming everyone works at the same rate? Explain the logic behind your answer.",reasoning,CLEAR,2026-03-26 04:43:44.493873+00
185,"A car travels 150 km in 2.5 hours. What is the average speed in km/h? If it continues at that speed, how long will it take to travel another 90 km? Show your reasoning.",reasoning,CLEAR,2026-03-26 04:44:38.059108+00
186,"In a class of 30 students, 18 play football and 14 play basketball. 6 students play both sports. How many students play neither sport? Use logical set reasoning to explain your answer.",reasoning,CLEAR,2026-03-26 04:44:38.337213+00
187,"A tank is 40% full of water. After adding 120 litres, it is 70% full. What is the total capacity of the tank? Show your algebraic reasoning step by step.",reasoning,CLEAR,2026-03-26 04:44:38.542892+00
188,"If all squares are rectangles, and all rectangles are quadrilaterals, is every square a quadrilateral? Is every quadrilateral a square? Explain the difference in reasoning for each question.",reasoning,CLEAR,2026-03-26 04:44:38.749781+00
189,A bookshelf has 5 shelves. Each shelf holds 24 books. Currently 87 books are on the shelf. How many more books can fit? Is there enough space for 40 more books? Reason through both questions.,reasoning,CLEAR,2026-03-26 04:44:38.969605+00
190,Maria earns $18 per hour and works 40 hours per week. She receives a 12% pay rise. What is her new hourly rate and her new weekly earnings? Show each calculation step.,reasoning,CLEAR,2026-03-26 04:45:41.834551+00
191,"A shop buys goods for $40 and sells them for $56. What is the percentage profit? If the shop wants a 40% profit margin, what should the selling price be? Explain your reasoning for both.",reasoning,CLEAR,2026-03-26 04:45:42.033509+00
192,A swimming pool is being filled by two pipes. Pipe A fills the pool in 6 hours. Pipe B fills the pool in 4 hours. How long does it take to fill the pool if both pipes are open? Show the rate-based reasoning.,reasoning,CLEAR,2026-03-26 04:45:42.281358+00
193,"In a sequence: 3, 7, 15, 31, 63, what is the next number? Identify the pattern and explain the rule governing the sequence before giving your answer.",reasoning,CLEAR,2026-03-26 04:45:42.56798+00
194,"John says: if it rains, the ground gets wet. The ground is wet. John concludes it must have rained. Identify whether this is valid deductive reasoning and explain any flaws in the argument.",reasoning,CLEAR,2026-03-26 04:45:42.776552+00
195,"A number is divided by 4, then 12 is added, and the result is 20. What is the original number? Work backwards step by step, explaining each inverse operation.",reasoning,CLEAR,2026-03-26 04:46:53.441631+00
196,Two candles are each 30 cm tall. Candle A burns at 3 cm per hour. Candle B burns at 5 cm per hour. After how many hours will Candle B be exactly half the height of Candle A? Show your reasoning.,reasoning,CLEAR,2026-03-26 04:46:53.644697+00
197,A bag contains only red and blue balls. The ratio of red to blue is 3:5. There are 24 red balls. How many blue balls are there and what is the total number of balls? Explain the ratio reasoning.,reasoning,CLEAR,2026-03-26 04:46:53.846057+00
198,"If a product's price increases by 20% and then decreases by 20%, is the final price the same as the original? Show numerically why or why not, and explain the general principle.",reasoning,CLEAR,2026-03-26 04:46:54.043755+00
199,"A person walks north for 3 km, then east for 4 km. How far are they from their starting point in a straight line? Which geometric principle applies and why?",reasoning,CLEAR,2026-03-26 04:46:54.243596+00
200,An office uses 500 sheets of paper per week. A ream contains 500 sheets and costs $6. How much does the office spend on paper in a year? Show your unit conversion and multiplication steps.,reasoning,CLEAR,2026-03-26 04:47:51.503921+00
201,"If today is Wednesday, what day of the week will it be in 100 days? Explain how modular arithmetic or cycle reasoning helps solve this.",reasoning,CLEAR,2026-03-26 04:47:51.693524+00
202,"A student scores 72, 85, 91, 68, and 79 on five tests. What is the average score? What score does the student need on the sixth test to bring the average to 80? Show step-by-step reasoning.",reasoning,CLEAR,2026-03-26 04:47:51.886702+00
203,A ladder 10 metres long leans against a wall. The base of the ladder is 6 metres from the wall. How high up the wall does the ladder reach? Identify the theorem used and show the calculation.,reasoning,CLEAR,2026-03-26 04:47:52.077583+00
204,"Three boxes weigh 5 kg, 8 kg, and 11 kg. You can carry at most 15 kg at a time. What is the minimum number of trips needed to move all three boxes? Reason through the combinations.",reasoning,CLEAR,2026-03-26 04:47:52.283165+00
205,A light blinks every 4 seconds and another blinks every 6 seconds. They blink together at time zero. After how many seconds do they blink together again? Explain the concept of LCM in your reasoning.,reasoning,CLEAR,2026-03-26 04:49:07.283755+00
206,"If you flip a fair coin 3 times, how many possible outcomes are there in total? What is the probability of getting exactly 2 heads? List the sample space and explain your counting.",reasoning,CLEAR,2026-03-26 04:49:07.482157+00
207,A worker completes 1/3 of a project on day one and 1/4 of the remaining project on day two. What fraction of the total project is left after day two? Work through the fractions step by step.,reasoning,CLEAR,2026-03-26 04:49:07.668779+00
208,"A car depreciates by 15% each year. If it is worth $20,000 today, what will it be worth in 2 years? Show the compound depreciation calculation and explain why you cannot simply subtract 30%.",reasoning,CLEAR,2026-03-26 04:49:07.863579+00
209,"There are 3 boxes labelled Apples, Oranges, and Mixed. All three labels are wrong. You can pick one fruit from one box. Which box should you pick from to correctly label all three boxes, and why? Reason through the logic completely.",reasoning,CLEAR,2026-03-26 04:49:08.166806+00
210,A clock shows 3:15. What is the angle between the hour hand and the minute hand? Show your reasoning about how clock hands move over time.,reasoning,CLEAR,2026-03-26 04:50:15.545408+00
211,"If n is an even number, explain why n squared is always even. Then explain why the sum of two odd numbers is always even. Use clear logical reasoning for each.",reasoning,CLEAR,2026-03-26 04:50:15.760621+00
212,A tank holds 500 litres. It has a leak that drains 5 litres per hour. A pipe fills it at 12 litres per hour. The tank currently has 200 litres. How long until the tank is full? Show the net rate reasoning.,reasoning,CLEAR,2026-03-26 04:50:15.965901+00
213,"A farmer has chickens and cows. There are 20 heads and 56 legs in total. How many chickens and how many cows are there? Set up and solve the simultaneous equations, explaining each step.",reasoning,CLEAR,2026-03-26 04:50:16.167681+00
214,A number doubled and then increased by 7 equals 31. A second number tripled and decreased by 4 equals 20. Which number is larger and by how much? Solve and compare.,reasoning,CLEAR,2026-03-26 04:50:16.379977+00
215,A bus can seat 45 passengers. A school has 312 students going on a trip. How many buses are needed? Explain why rounding rules matter differently here than in a standard calculation.,reasoning,CLEAR,2026-03-26 04:51:15.036025+00
216,"Arrange the following fractions in ascending order: 3/4, 2/3, 5/8, 7/10. Show the method used to compare them and explain why a common denominator or decimal conversion makes this reliable.",reasoning,CLEAR,2026-03-26 04:51:15.253683+00
217,"A map has a scale of 1:50,000. Two cities are 8 cm apart on the map. What is the actual distance between them in kilometres? Show the unit conversion reasoning.",reasoning,CLEAR,2026-03-26 04:51:15.446369+00
218,"A sale reduces a jacket from $120 to $84. What percentage discount is this? If another jacket is discounted by 35% from $160, which jacket has the lower final price? Reason through both.",reasoning,CLEAR,2026-03-26 04:51:15.676512+00
219,"You have a 3-litre jug and a 5-litre jug with no markings, and an unlimited water supply. How do you measure exactly 4 litres? Describe the logical steps in sequence.",reasoning,CLEAR,2026-03-26 04:51:15.872793+00
220,"A company made a profit of $45,000 last year. This year profit increased by 20%. Next year they expect a 10% decrease from this year's profit. What is the expected profit for next year? Show all steps.",reasoning,CLEAR,2026-03-26 04:52:42.892357+00
221,"If the sum of three consecutive integers is 72, what are the three integers? Set up the equation, solve it, and verify your answer by substitution.",reasoning,CLEAR,2026-03-26 04:52:43.123059+00
222,"A ball is dropped from 80 metres. Each time it bounces, it reaches half the height of the previous bounce. What is the total height the ball travels after 4 bounces including the initial drop? Add up the distances step by step.",reasoning,CLEAR,2026-03-26 04:52:43.33492+00
223,"A queue has 15 people. Every 5 minutes, 3 people are served and 2 new people join. How many people are in the queue after 20 minutes? Track the queue state at each 5-minute interval.",reasoning,CLEAR,2026-03-26 04:52:43.52682+00
224,"A painter can paint a wall in 3 hours. A second painter can paint the same wall in 5 hours. If they work together but the second painter takes a 1-hour break, how long does the whole job take? Show your combined rate reasoning with the break factored in.",reasoning,CLEAR,2026-03-26 04:52:43.730418+00
225,Write a paragraph explaining why sleep is important for students with two examples,text-generation,CLEAR,2026-03-26 15:41:52.018117+00
226,Create a message inviting friends to a movie night with time and place mentioned,text-generation,CLEAR,2026-03-26 15:41:52.4885+00
227,Write a short email asking for permission to submit an assignment late,text-generation,CLEAR,2026-03-26 15:41:52.838931+00
228,Generate a short story about a child overcoming fear of speaking in public,text-generation,CLEAR,2026-03-26 15:41:53.353727+00
229,Write a paragraph describing your favorite hobby and why you enjoy it,text-generation,CLEAR,2026-03-26 15:41:53.891978+00
230,Create a thank-you note for a teacher who guided you in studies,text-generation,CLEAR,2026-03-26 15:46:03.344632+00
231,Write a short explanation of why helping others is important in society,text-generation,CLEAR,2026-03-26 15:46:03.665866+00
232,Generate a paragraph about the importance of healthy eating habits,text-generation,CLEAR,2026-03-26 15:46:04.154736+00
233,Write a description of a peaceful park including surroundings and activities,text-generation,CLEAR,2026-03-26 15:46:05.020441+00
234,Create a short reminder message for a friend about an event tomorrow,text-generation,CLEAR,2026-03-26 15:46:05.255493+00
235,Write a message inviting someone,text-generation,PARTIAL,2026-03-26 15:51:21.644318+00
236,Create a paragraph about a place,text-generation,PARTIAL,2026-03-26 15:51:22.996023+00
237,Write a short explanation of something important,text-generation,PARTIAL,2026-03-26 15:51:25.704863+00
238,Generate a small story about something good,text-generation,PARTIAL,2026-03-26 15:51:26.735965+00
239,Write a paragraph about a memory,text-generation,PARTIAL,2026-03-26 15:51:27.869115+00
240,Create a simple note for someone,text-generation,PARTIAL,2026-03-26 15:52:53.303825+00
241,Write a message about something happening,text-generation,PARTIAL,2026-03-26 15:52:53.688336+00
242,Generate a paragraph about a topic,text-generation,PARTIAL,2026-03-26 15:52:54.051785+00
243,Write a short explanation about something useful,text-generation,PARTIAL,2026-03-26 15:52:54.459938+00
244,Create a paragraph about something you like,text-generation,PARTIAL,2026-03-26 15:52:54.775901+00
245,Write something about anything,text-generation,UNCLEAR,2026-03-26 15:56:17.184951+00
246,Create a message about anything,text-generation,UNCLEAR,2026-03-26 15:56:17.863794+00
247,Write a story about anything,text-generation,UNCLEAR,2026-03-26 15:56:18.209931+00
248,Generate a paragraph about anything,text-generation,UNCLEAR,2026-03-26 15:56:18.450942+00
249,Write something simple,text-generation,UNCLEAR,2026-03-26 15:56:18.7796+00
250,Write a paragraph explaining why teamwork helps achieve goals with examples,text-generation,CLEAR,2026-03-26 16:03:04.089949+00
251,Create a message inviting colleagues for a small celebration at a specific time,text-generation,CLEAR,2026-03-26 16:03:04.694974+00
252,Write a short email requesting clarification about a task with details,text-generation,CLEAR,2026-03-26 16:03:05.097122+00
253,Generate a short story about a person helping a stranger in need,text-generation,CLEAR,2026-03-26 16:03:05.509655+00
254,Write a paragraph describing your school environment and activities,text-generation,CLEAR,2026-03-26 16:03:05.892867+00
255,"If a train leaves Station A at 9:00 AM travelling at 60 km/h and another train leaves Station B at 10:00 AM travelling at 80 km/h toward Station A, and the two stations are 280 km apart, at what time do the trains meet? Show your reasoning step by step.",reasoning,CLEAR,2026-03-26 16:03:27.350135+00
256,"A store sells apples for $1.20 each and oranges for $0.80 each. If Sarah buys 5 apples and 3 oranges, how much does she spend in total? Now if she has $10, how much change does she receive? Explain each step.",reasoning,CLEAR,2026-03-26 16:03:27.647685+00
257,"A rectangle has a length that is 3 times its width. If the perimeter of the rectangle is 48 cm, what are the dimensions of the rectangle? Walk through your reasoning clearly.",reasoning,CLEAR,2026-03-26 16:03:27.844746+00
258,Tom is older than Sarah. Sarah is older than Mike. Mike is 14 years old. Tom is twice Sarah's age. Sarah is 18. Is the statement that Tom is the oldest person correct? Explain your reasoning.,reasoning,CLEAR,2026-03-26 16:03:28.052908+00
259,"A jar contains 4 red marbles, 6 blue marbles, and 2 green marbles. If you pick one marble at random, what is the probability of picking a blue marble? What is the probability of not picking a red marble? Show your working.",reasoning,CLEAR,2026-03-26 16:03:28.238819+00
260,"If all mammals are warm-blooded, and a dolphin is a mammal, what can you conclude about dolphins? Now if someone claims that all warm-blooded animals are mammals, explain why that reasoning is flawed.",reasoning,CLEAR,2026-03-26 16:05:04.449912+00
261,A recipe calls for 2 cups of flour to make 12 cookies. How many cups of flour are needed to make 30 cookies? Show the proportion calculation step by step.,reasoning,CLEAR,2026-03-26 16:05:04.899017+00
262,"A phone costs $800. It is on sale for 25% off. After the discount, there is a 10% tax added to the sale price. What is the final price? Explain each operation in order.",reasoning,CLEAR,2026-03-26 16:05:05.294048+00
