prompt,use_case,group,csv_model,model_used,recommended_model,recommendation_mode,eval_llama4_score,eval_mistral_score,eval_nova_score,avg_accuracy_score,score_stdev,latency_ms,cost
Explain the Byzantine Generals Problem and how practical BFT consensus algorithms solve it,reasoning,A,llama3-3-70b,llama3-3-70b,,,87.0,95.0,92.0,91.33,4.04,7663,0.000752
Why is floating point arithmetic not associative? Give a concrete example where (a+b)+c != a+(b+c),reasoning,A,llama4-maverick,llama4-maverick,,,95.0,95.0,92.0,94.0,1.73,2448,0.000497
Write a professional email to a client explaining that a critical production bug will delay the launch by one week,text-generation,A,nova-pro,nova-pro,,,98.0,95.0,95.0,96.0,1.73,3607,0.00096
"Summarize the key differences between REST, GraphQL, and gRPC for a junior developer joining the team",text-generation,B,llama3-3-70b,nova-pro,nova-pro,semantic_best_value,92.0,95.0,92.0,93.0,1.73,5459,0.001746
Draft a technical blog post introduction about how vector databases power modern RAG systems,text-generation,B,llama3-3-70b,nova-lite,nova-lite,semantic_best_value,92.0,95.0,92.0,93.0,1.73,1971,4.9e-05
Write a clear and concise README.md for an open-source Python CLI tool that converts CSV files to JSON,text-generation,B,llama4-maverick,nova-lite,nova-lite,semantic_best_value,95.0,95.0,95.0,95.0,0.0,3481,0.000133
Create a job description for a Senior Machine Learning Engineer at a Series B fintech startup,text-generation,B,nova-pro,nova-pro,nova-pro,semantic_best_value,92.0,95.0,95.0,94.0,1.73,9029,0.002515
Explain Kubernetes pod scheduling to a developer who only knows Docker,text-generation,B,llama3-3-70b,nova-pro,nova-pro,semantic_best_value,95.0,95.0,95.0,95.0,0.0,8357,0.002441
Write a compelling product description for a wireless noise-cancelling headphone under $100,text-generation,B,llama3-3-70b,nova-pro,nova-pro,semantic_best_value,95.0,95.0,92.0,94.0,1.73,6641,0.001976
Draft a sprint retrospective summary noting improvements in deployment frequency but regressions in code review turnaround,text-generation,A,llama3-3-70b,llama3-3-70b,,,92.0,94.0,92.0,92.67,1.15,3029,0.000302
"Explain the difference between supervised, unsupervised, and reinforcement learning with one real-world example each",text-generation,B,llama4-maverick,nova-lite,nova-lite,semantic_best_value,95.0,95.0,95.0,95.0,0.0,3800,0.000139
Write a concise incident postmortem for a 45-minute API outage caused by a misconfigured load balancer,text-generation,B,nova-pro,nova-pro,nova-pro,semantic_best_value,92.0,95.0,92.0,93.0,1.73,5434,0.001769
Summarize the pros and cons of serverless architecture for a CTO evaluating AWS Lambda vs ECS Fargate,text-generation,B,llama3-3-70b,nova-pro,nova-pro,semantic_best_value,92.0,95.0,92.0,93.0,1.73,6745,0.002202
"Create onboarding documentation for a new backend engineer joining a team that uses FastAPI, PostgreSQL, and Redis",text-generation,B,llama3-3-70b,nova-pro,nova-pro,semantic_best_value,98.0,95.0,85.0,92.67,6.81,12036,0.003293
