prompt,complexity
Explain what could go wrong in a basic task,low
List steps to improve a small habit,low
Identify the goal of a short activity,low
Explain a simple instruction in your own words,low
Describe what changes after completing a task,low
Identify a problem and suggest one solution,low
Explain how to repeat a simple process,low
List ways to make a task faster,low
Identify correct order of actions in a task,low
Explain a basic comparison with examples,low
Describe how to start and finish a task,low
Identify which option is more useful and why,low
Explain how to simplify a task,low
List steps to prepare for a simple activity,low
Identify what makes something effective,low
Explain a small improvement in a process,low
Describe how to handle a simple mistake,low
Identify key differences between two examples,low
Explain how to check results of a task,low
List possible simple solutions to a problem,low
Identify the best method from given options,low
Explain how to avoid repeating errors,low
Describe what success looks like for a task,low
Identify conditions needed for a task to work,low
Explain how to choose between two options,low
List small improvements for daily tasks,low
Identify when a process is complete,low
Explain why steps should be followed in order,low
Describe how to track progress in a simple task,low
Identify what causes a small issue,low
Explain how to solve it step by step,low
List three simple ways to keep your phone safe from damage,low
Explain what happens when you turn off your computer,low
Compare using cash and digital payments,low
Describe how to take a screenshot on a device,low
List reasons why people use headphones,low
Explain how a timer works in simple terms,low
Describe what happens when you clear app data,low
Compare using a notebook and a digital note app,low
List three things to check when an app is not working,low
Explain what airplane mode does on a phone,low
Describe how to connect to a WiFi network,low
List reasons why updates are needed in apps,low
Explain what happens when you uninstall an app,low
Compare typing on a phone and typing on a keyboard,low
Describe how to save a contact on a phone,low
List three ways to organize files on a computer,low
Explain what happens when you restart a device,low
Compare using speakers and headphones,low
Describe how to change settings in an app,low
List reasons why devices run out of storage space,low
"Given a scenario where users abandon a signup form midway, identify likely friction points and propose improvements",mid
Compare two ways of organizing tasks and determine which leads to better efficiency under time constraints,mid
Analyze a system where response time increases gradually and identify possible causes without deep technical tools,mid
"Given feedback from users, categorize it into meaningful groups and suggest one actionable change per group",mid
Explain how changing the order of steps in a process can impact final results using an example,mid
Evaluate two product features and determine which one adds more value based on given criteria,mid
"Given a list of tasks, determine the optimal sequence to minimize total time and explain reasoning",mid
Analyze a situation where a feature is frequently misunderstood and suggest how to improve clarity,mid
Compare two pricing strategies and determine which is more appealing to new users,mid
"Given a dataset of user activity, identify trends and explain what they might indicate",mid
Explain why performance might drop as more users join a system and suggest simple fixes,mid
Analyze a workflow and identify redundant steps that can be removed,mid
Compare two learning strategies and determine which improves retention better,mid
"Given incomplete instructions, identify missing steps required to complete the process",mid
Evaluate how changing layout affects usability in a basic interface,mid
Analyze why a solution works for small inputs but struggles with larger ones,mid
"Given multiple options, rank them based on simplicity and effectiveness",mid
Explain how small errors in data input can affect output results,mid
Analyze why users drop off at a specific stage in a process,mid
Compare two system updates and determine which provides better improvement,mid
"Given logs from a system, identify patterns indicating possible issues",mid
Analyze how adding a new feature may negatively affect existing ones,mid
Explain how task prioritization affects outcomes in a workflow,mid
"Given two conflicting goals, determine a balanced approach",mid
Analyze a system where performance varies and suggest possible reasons,mid
Compare manual and automated processes and evaluate benefits,mid
"Given a problem, identify the simplest possible solution",mid
Analyze how user behavior changes over time in a system,mid
Explain how dependencies between components affect performance,mid
"Given data, identify trends without complex calculations",mid
Analyze a scenario where scaling introduces new issues,mid
Compare two approaches and evaluate effectiveness,mid
"Given user feedback, prioritize improvements",mid
Analyze how design changes impact usability,mid
Explain how errors propagate through a process,mid
"Given a system with delays, identify bottlenecks",mid
Analyze a mismatch between expected and actual results,mid
Compare two versions of a system and determine improvements,mid
"Given constraints, determine best feasible solution",mid
Analyze why a system fails under stress conditions,mid
Explain how trade-offs influence decisions,mid
"Given a list of improvements, determine priority order",mid
Analyze how input changes affect output variability,mid
Compare two alternatives and justify selection,mid
"Given a problem, identify key influencing factors",mid
Analyze a system with multiple simultaneous issues,mid
Explain how optimizing one part affects another,mid
"Given a situation, identify risks and mitigation steps",mid
Analyze how limited resources impact decisions,mid
Compare two strategies and evaluate long-term impact,mid
"Given trends, predict future outcomes",mid
Analyze how simplifying a system affects performance,mid
Explain why some solutions scale better than others,mid
"Given feedback, extract actionable insights",mid
Analyze how expectations influence system design,mid
Compare two cost strategies and evaluate efficiency,mid
"Given a problem, break it into smaller components",mid
Analyze interactions between system components,mid
Explain how improving one metric may worsen another,mid
"Given options, choose balanced solution",mid
Analyze inconsistent system behavior,mid
Compare two methods and evaluate reliability,mid
"Given partial data, infer possible explanations",mid
Analyze how environment changes affect performance,mid
Explain how constraints shape design decisions,mid
"Given a scenario, identify possible outcomes",mid
Analyze varying system behavior under different inputs,mid
Compare two processes and find inefficiencies,mid
"Given data, identify patterns and anomalies",mid
Analyze unintended consequences of improvements,mid
Explain how input size affects performance,mid
"Given constraints, identify feasible options",mid
Analyze how decisions impact outcomes,mid
Compare two options and justify choice,mid
"Given a problem, identify root causes",mid
Analyze system complexity and reliability,mid
Explain variable interactions in a system,mid
"Given scenario, identify improvement opportunities",mid
Analyze scaling effects on system behavior,mid
Compare two strategies and evaluate risk,mid
"Given information, identify missing pieces",mid
Analyze decision impact on future outcomes,mid
Explain how prioritization affects results,mid
"Given case, identify strengths and weaknesses",mid
Analyze how constraints limit solutions,mid
Compare two designs and evaluate usability,mid
"Given process, identify optimization opportunities",mid
Analyze data quality impact on results,mid
Explain design choices influence outcomes,mid
"Given options, determine best under constraints",mid
Analyze external factors affecting systems,mid
Compare two methods and evaluate performance,mid
"Given problem, identify solution paths",mid
Analyze error impact on system outputs,mid
Explain trade-offs in system performance,mid
"Given data, infer explanations",mid
Analyze component interactions,mid
Compare approaches and justify choice,mid
"Given scenario, identify risks",mid
Analyze system changes impact on users,mid
Explain cause-effect relationships in systems,mid
"Given constraints, find workable solution",mid
Analyze efficiency differences between methods,mid
Compare approaches under limited resources,mid
"Given situation, determine likely outcome",mid
Analyze performance variation causes,mid
Explain effect of decisions on results,mid
"Given data trends, identify key drivers",mid
Analyze system under varying loads,mid
Compare strategies under uncertainty,mid
"Given case, identify influencing factors",mid
Analyze user behavior patterns,mid
Explain effect of scaling on performance,mid
"Given options, evaluate best choice",mid
Analyze system inconsistencies,mid
Compare methods for solving same problem,mid
"Given constraints, identify best solution",mid
Analyze trade-offs in simple systems,mid
Explain relationship between variables,mid
"Given process, identify inefficiencies",mid
Analyze decision-making under constraints,mid
Compare two designs under user perspective,mid
"Given scenario, determine optimal approach",mid
Analyze how inputs affect outputs,mid
Explain system behavior changes,mid
"Given data, identify key patterns",mid
Analyze interaction between variables,mid
Compare outcomes of different strategies,mid
"Given situation, identify solution options",mid
Analyze how constraints influence outcomes,mid
Explain trade-offs between choices,mid
"Given system, identify weaknesses",mid
Analyze how design affects usability,mid
Compare performance under different conditions,mid
"Given problem, identify improvement areas",mid
Analyze impact of changes on outcomes,mid
Explain relationship between cause and effect,mid
"Given scenario, evaluate possible results",mid
Analyze system efficiency differences,mid
Compare methods and justify selection,mid
"Given data, identify trends and issues",mid
Analyze behavior under changing conditions,mid
Explain how decisions affect performance,mid
"Given constraints, determine possible solutions",mid
Analyze how system responds to inputs,mid
Compare approaches based on outcomes,mid
"Given case, identify problem areas",mid
Analyze how interactions affect results,mid
Explain influence of variables on system,mid
"Given situation, evaluate best option",mid
Analyze system behavior patterns,mid
Compare solutions and determine efficiency,mid
"Given a distributed system experiencing intermittent network partitions, identify three distinct failure propagation paths and redesign only the minimal components needed to prevent cascading outages while preserving latency constraints",high
"Analyze a flawed machine learning pipeline where data leakage occurs across training and validation splits, and propose a corrected architecture while quantifying expected performance change",high
"Simulate the behavior of a queueing system under sudden traffic spikes where service rates degrade dynamically, and derive conditions under which the system stabilizes again",high
Rewrite a recursive algorithm into an iterative version under strict memory constraints and prove that both implementations are equivalent for all valid inputs,high
"Evaluate a scenario where a blockchain fork occurs due to conflicting consensus rules, and determine which branch should be accepted based on safety and liveness trade-offs",high
"Debug a concurrency issue in a multi-threaded system where deadlocks occur only under rare timing conditions, and redesign synchronization without reducing throughput",high
"Given an API system with inconsistent latency, trace potential bottlenecks across layers and propose a minimal intervention strategy backed by measurable metrics",high
Construct a reasoning chain to detect whether a given dataset has been adversarially manipulated without direct access to original clean data,high
Design a mechanism to enforce fairness in a recommendation system where user engagement metrics conflict with equitable exposure across categories,high
"Given an incomplete system log with missing timestamps, reconstruct the most likely sequence of events using causal inference",high
"Given conflicting product requirements from multiple stakeholders, construct a decision-making model that balances long-term scalability with short-term delivery constraints",high
Reverse engineer a black-box model’s decision boundaries using only input-output observations and evaluate its robustness to adversarial inputs,high
Simulate how a distributed cache behaves when eviction policies adapt dynamically based on workload shifts and derive failure thresholds,high
Identify logical fallacies in a technical proposal advocating a shift to a new architecture and reconstruct a stronger argument,high
"Given a partially trained neural network, predict how modifying specific layers will impact generalization without retraining the full model",high
Design a real-time anomaly detection system where anomalies evolve over time and cannot be captured by static thresholds,high
"Given two inconsistent database replicas, determine the most reliable method to reconcile them without losing critical data",high
Optimize a search algorithm under constraints where memory is limited but response time must remain constant,high
Evaluate the ethical implications of deploying an AI system that improves efficiency but reduces human oversight in critical decisions,high
"Given a system with hidden dependencies, uncover implicit coupling and propose a decoupled architecture with minimal disruption",high
Compare two optimization strategies for large-scale machine learning training and determine which fails first under resource exhaustion scenarios,high
"Given a flawed experimental setup, identify sources of bias and redesign the experiment to produce statistically valid results",high
Simulate cascading failures in a power grid network and propose intervention points to prevent system-wide collapse,high
Transform an inefficient algorithm into a parallelized version while maintaining correctness under synchronization constraints,high
"Given ambiguous user requirements, infer the most probable intended functionality and justify assumptions explicitly",high
Design a system that adapts its architecture dynamically based on workload patterns and evaluate trade-offs involved,high
"Analyze a system where throughput increases but latency worsens, and determine root causes with quantitative reasoning",high
"Given partial encryption of data, infer possible vulnerabilities and propose mitigation strategies",high
Construct a model to predict system failure based on incomplete monitoring signals and justify chosen features,high
Evaluate trade-offs between consistency and availability in a distributed system under extreme conditions,high
"Given a multi-agent system with competing objectives, design a coordination mechanism that ensures global stability",high
Debug a system where performance degrades only after prolonged uptime and identify hidden resource leaks,high
Simulate how misinformation spreads in a network and design interventions to reduce propagation without censorship,high
Rewrite a complex system design into a minimal viable architecture without losing critical functionality,high
"Given a high-dimensional dataset, determine the most effective dimensionality reduction technique and justify mathematically",high
Analyze a system where scaling horizontally introduces new bottlenecks and propose a corrected scaling strategy,high
Design a secure authentication mechanism resilient to replay attacks and credential leakage,high
Evaluate how introducing caching affects consistency guarantees in a distributed database,high
"Given conflicting evaluation metrics, determine which metric should be prioritized and why",high
Construct a reasoning framework to detect hidden assumptions in technical documentation,high
"Given a reinforcement learning agent behaving suboptimally, identify whether the issue lies in reward design or exploration strategy",high
Simulate how a system behaves when multiple failures occur simultaneously and determine recovery strategies,high
Analyze a model that performs well on training data but fails in production and identify root causes,high
Design a data pipeline that adapts dynamically to schema changes without downtime,high
"Given incomplete logs, infer whether a failure was due to system error or external interference",high
Optimize a neural network for inference speed under strict hardware constraints without retraining,high
Evaluate trade-offs between precision and recall in a critical detection system and propose optimal balance,high
Design a system that maintains performance under adversarial conditions,high
"Given ambiguous error messages, reconstruct the most likely underlying issue",high
Analyze how small parameter changes propagate through a complex system and affect outputs,high
"Given a flawed argument supporting a system design, identify hidden assumptions and reconstruct a logically valid argument",high
Generate a counterexample that breaks a given algorithm under edge-case constraints and explain why it fails,high
Rank three competing system designs based on conflicting objectives and justify trade-offs using formal reasoning,high
Predict step-by-step how a system evolves under three simultaneous failures and identify the first critical breaking point,high
Transform an ambiguous problem statement into a precise specification with clearly defined constraints and outputs,high
Identify minimal changes required to convert an unstable system into a stable one under bounded inputs,high
Construct an adversarial input that maximizes error in a given model without violating constraints,high
Decompose a complex system into independent modules and justify boundaries based on dependency analysis,high
Evaluate whether a given heuristic guarantees optimality and provide proof or counterexample,high
Derive conditions under which a system transitions from linear to exponential failure growth,high
Convert a deterministic process into a probabilistic model and compare outcome distributions,high
Identify the weakest assumption in a multi-step reasoning chain and show how it invalidates the conclusion,high
Design a scenario where two correct subsystems produce incorrect results when combined and explain why,high
Reframe a technical problem from a resource perspective instead of performance perspective and solve accordingly,high
Construct a worst-case input for a scheduling system and analyze how fairness breaks down,high
Determine whether observed system behavior implies causation or correlation using logical reasoning,high
Translate a real-world ambiguous scenario into a formal computational problem definition,high
Identify conflicting constraints in a system and propose a feasible compromise solution,high
Evaluate how introducing randomness affects predictability and reliability of outcomes,high
Construct a decision tree for resolving conflicts between competing objectives under uncertainty,high
Reverse the logic of a given solution and determine if the inverse problem is solvable,high
Analyze whether a system’s output can be uniquely determined from incomplete inputs,high
Construct multiple valid interpretations of the same problem and compare outcomes,high
Identify a hidden dependency that causes system-wide failure and propose isolation strategy,high
Transform a solution optimized for speed into one optimized for memory and analyze trade-offs,high
Determine how constraints reshape the solution space of a given optimization problem,high
Generate a scenario where local optimization leads to globally suboptimal results,high
Construct a proof showing whether a greedy strategy fails under specific conditions,high
Identify minimal sufficient information required to reconstruct a system state,high
Evaluate whether simplifying assumptions invalidate real-world applicability of a model,high
Construct a scenario where adding redundancy reduces system reliability and explain why,high
Analyze how delayed feedback alters convergence in iterative systems,high
Identify when increasing resources stops improving system performance,high
Construct a boundary case where system assumptions no longer hold,high
Evaluate robustness of a system under adversarial but valid inputs,high
Identify conditions under which two different algorithms produce identical outputs,high
Construct a system where error cancellation leads to misleading correctness,high
Analyze how changing evaluation metrics alters perceived system performance,high
Identify scenarios where optimizing one metric degrades another significantly,high
Construct a reasoning chain to detect inconsistencies in multi-source data,high
Evaluate whether a system’s behavior is stable under repeated perturbations,high
Construct an example where scaling introduces nonlinear complexity growth,high
Identify when abstraction hides critical implementation flaws,high
Evaluate the trade-off between interpretability and performance in a model,high
Construct a scenario where assumptions about independence are violated,high
Analyze when adding constraints simplifies rather than complicates a problem,high
Construct an example where a solution generalizes poorly outside training conditions,high
Identify the minimum conditions required for a system to remain consistent,high
Evaluate how noise impacts signal detection in borderline cases,high
Construct a scenario where two errors cancel each other producing correct output,high
Analyze how uncertainty accumulates across multiple processing stages,high
Construct a case where deterministic logic produces unpredictable outcomes,high
Evaluate whether a system can recover from partial incorrect states,high
Identify how implicit assumptions influence final outcomes in reasoning,high
Construct a scenario where parallelization leads to incorrect results,high
Analyze when approximation methods outperform exact solutions,high
Evaluate how input distribution shifts impact model reliability,high
Construct a system where feedback loops amplify minor fluctuations,high
Identify conditions under which system simplification leads to loss of correctness,high
Analyze trade-offs between modularity and performance in system design,high
Construct a scenario where more data leads to worse predictions,high
Evaluate when heuristic methods outperform optimal ones in practice,high
Identify how hidden constraints limit feasible solution space,high
Construct a system where outputs depend on order of execution,high
Analyze when adding checkpoints improves recovery versus adds overhead,high
Evaluate robustness of solutions under worst-case assumptions,high
Construct an adversarial scenario that exposes system vulnerabilities,high
Identify when increased complexity leads to diminishing returns,high
Analyze how small design flaws propagate into major failures,high
Construct a case where multiple correct solutions conflict with each other,high
Evaluate when assumptions about linearity break down,high
Identify minimal set of rules needed to guarantee correctness,high
Construct a reasoning chain to validate system invariants,high
Analyze when constraints overdefine a problem making it unsolvable,high
Evaluate trade-offs between exploration depth and computational cost,high
Construct a scenario where optimal decisions depend on incomplete information,high
Identify when system boundaries are incorrectly defined,high
Analyze impact of sequential dependencies on performance,high
Construct a case where independence assumptions fail catastrophically,high
Evaluate when redundancy becomes inefficiency,high
Identify conditions for stable equilibrium in dynamic systems,high
Construct a system where delayed actions produce unintended consequences,high
Analyze how constraint relaxation changes feasible solutions,high
Evaluate robustness of a solution under noisy inputs,high
Construct a scenario where conflicting objectives cannot be resolved optimally,high
Identify when iterative improvement fails to converge,high
Analyze how prioritization affects overall system output,high
Construct a system where feedback introduces oscillations,high
Evaluate when simplifying assumptions produce misleading results,high
Identify hidden coupling between components in a system,high
Analyze how incremental updates affect global system state,high
Construct a case where decision-making is path-dependent,high
Evaluate trade-offs between scalability and control,high
Identify minimal conditions for fault tolerance,high
Analyze when system behavior becomes chaotic,high
Construct a scenario where optimization creates fragility,high
Evaluate when deterministic models fail under stochastic inputs,high
Identify when parallel execution introduces race conditions,high
Analyze how local failures escalate into global issues,high
Explain what the gender pay gap means and list 3 contributing factors that experts commonly cite.,mid
why this system failing even after optimization find real reason and fix properly,high
"Design a distributed consensus algorithm that handles Byzantine fault tolerance for a 50-node cluster with sub-second finality guarantees, and explain the formal proof of its safety properties",high
write a story about something interesting,low
Describe how machine learning is used in healthcare.,mid
"Write a Python metaclass that implements automatic memoization with LRU eviction, thread-safe lazy evaluation, and compile-time type checking via __init_subclass__ hooks",high
Why is a project failing even when the team is working hard and what should be done.,mid
Explain what cybersecurity is and give 3 simple steps an individual can take to stay safe online.,low
List 4 study techniques that research shows improve memory retention. Add one tip for applying each.,mid
Act as a talent acquisition specialist and inclusive hiring consultant. The situation is we are a climate tech startup hiring a Senior Product Designer for a remote first role. Your goal is to write a complete inclusive job description that attracts strong diverse candidates. Make it clear structured and format it as role overview responsibilities required skills nice to have skills compensation and culture.,mid
List 4 common myths about nutrition and provide a brief factual correction for each.,mid
Act as an operations expert. The situation is supply chain disruptions are affecting deliveries. Your goal is to redesign the system for resilience and efficiency. Format it as issues strategy and execution steps.,mid
how do i save money,low
Explain what preventive healthcare means and list 3 habits that can reduce the risk of chronic disease.,low
Describe how artificial intelligence is used in everyday life with examples.,mid
write a blog intro about dogs i guess,low
Write a catchy blog title and a 2-sentence subheading for a post about reducing screen time.,low
A company must choose between short-term profit and long-term sustainability under uncertain market conditions. Analyse and recommend a strategy with justification.,high
Summarise a product meeting and list main decisions and next steps clearly.,mid
Act as a research analyst. The situation is a retail company wants to understand how AI improves supply chains. Your goal is to write a structured report with summary key opportunities risks and recommendations.,mid
Describe how cloud computing helps businesses scale operations.,mid
Act as a risk analyst. The situation is a space mission has a 5% failure probability but high scientific value. Your goal is to evaluate whether to proceed. Format as risk-benefit analysis and decision.,mid
Compare remote work and office work in terms of productivity and communication.,low
Act as a data analyst. The situation is customer churn has increased but the cause is unclear. Your goal is to identify possible causes and propose a structured approach to solve it.,mid
List 4 common personal budgeting mistakes and suggest one way to correct each.,mid
Write a persuasive letter from a teenager to their school principal arguing for a 4-day school week. Include 3 supporting arguments.,mid
What are the main differences between REST and GraphQL?,mid
Act as a disaster response planner. The situation is an earthquake impacts multiple cities with limited resources. Your goal is to allocate resources optimally under constraints.,mid
Act as a behavioral economist. The situation is users abandon a service despite high utility. Your goal is to analyse hidden psychological factors.,mid
Act as a content writer. The situation is writing a blog on healthy habits. Your goal is to create a structured outline.,low
A company is expanding into a new country and facing risks from regulations competition and culture. Analyse the situation and suggest a strategy with key risks and actions.,mid
Compare electric cars and petrol cars based on cost efficiency and environmental impact.,mid
Act as a product analyst. The situation is we are reviewing a new mobile app feature. Your goal is to evaluate its impact and suggest improvements.,mid
Explain whether remote work or office work is better for companies and give your opinion.,mid
A company wants to adopt AI but is unsure where to start. Analyse the situation and recommend an implementation roadmap.,mid
Act as a strategic foresight consultant specialising in fintech. The situation is we are a Series B payments startup planning our 18 month growth strategy with key uncertainties around interest rates EU regulation and big tech entry into payments. Your goal is to generate three scenarios best case worst case and most likely. Make each realistic and format as title short narrative key assumptions expected outcome and warning signals.,high
Act as a systems thinker. The situation is a city is facing traffic congestion and pollution. Your goal is to design a multi-layered solution considering economic social and environmental factors. Format it as problem analysis solutions trade-offs and implementation.,mid
List 3 ways cloud computing helps small businesses reduce costs. Give one real-world example for each.,mid
Rewrite the same paragraph in three different styles for a presentation a team message and a blog post while keeping the meaning unchanged.,mid
Act as an environmental strategist. The situation is balancing industrial growth with ecological preservation. Your goal is to design a sustainable policy framework.,mid
What is the capital of France?,low
"Act as a senior content writer for a SaaS company. The situation is we are launching a new project management tool targeting remote teams. Our brand tone is friendly but authoritative. Your goal is to write a 600-word blog post titled 5 Ways Remote Teams Can Stay Aligned Without Constant Meetings. Make it conversational, under 600 words, and format it with 3 subheadings followed by a call-to-action at the end.",mid
Act as a game theory expert. The situation is two competing firms must decide pricing strategies in a duopoly market. Your goal is to analyse possible outcomes and equilibrium.,mid
Act as a Lean Six Sigma process improvement consultant. The situation is our e commerce checkout conversion dropped from 68 percent to 51 percent over 3 weeks with no code deployments affecting mobile users more than desktop. Your goal is to apply the 5 Whys method to find the probable root cause and recommend fixes. Make each Why logically follow the previous and format it as problem statement 5 Whys chain root cause hypothesis corrective actions and data needed to confirm.,mid
List 4 ways individuals can take meaningful action to address climate change in their daily lives.,low
Explain the concept of compound interest and give a simple numerical example over 3 years.,low
Whats the capital of France?,low
Explain the importance of cybersecurity for individuals and businesses.,low
Act as a security analyst. The situation is a system shows no visible breach but subtle anomalies exist. Your goal is to investigate hidden threats.,mid
Compare remote hiring and in-person hiring. Include 2 advantages and 1 challenge for each.,mid
Act as a business operations specialist. The situation is we need to document the customer escalation process for a B2B SaaS company where bugs impact more than 10 accounts. Your goal is to write a clear SOP. Make it simple and format it as purpose scope roles steps exception cases and checklist.,mid
Act as a marketing assistant. The situation is launching a new product. Your goal is to suggest three promotional strategies with brief explanations.,mid
Act as a competitive intelligence consultant. The situation is we are a B2B SaaS company evaluating our market position against two key rivals in the SMB segment. Your goal is to compare Notion and Confluence across ease of use pricing and integrations. Make it based only on verifiable public information and format it as a comparison table followed by strategic gaps and a final recommendation.,mid
something wrong in decision logic output inconsistent fix reasoning,mid
Act as a systems engineer. The situation is a smart city grid is failing during peak demand. Your goal is to identify interdependent failures and redesign the system. Include constraints and cascading effects.,high
Explain the scientific method in simple terms. List each step in order and give one example of it in action.,mid
Explain how artificial intelligence is transforming education. Include 2 benefits and 1 limitation.,mid
A startup is not growing fast and something is wrong figure it out and say what to fix.,high
A bank is facing financial risk due to changing interest rates and market instability. Analyse the risks and suggest mitigation strategies.,mid
A healthcare system must prioritize patients with limited ICU beds. Analyse how to design a fair and efficient allocation model.,high
Act as a political strategist. The situation is a policy benefits majority but harms a minority group significantly. Your goal is to evaluate trade-offs and propose alternatives.,mid
Explain what employee onboarding is and list 4 key steps companies should include in the process.,mid
Act as a cognitive scientist. The situation is humans consistently make irrational financial decisions. Your goal is to explain underlying biases and design interventions to improve decisions.,high
"Act as a senior research analyst at a consulting firm. The situation is a retail client needs to understand the impact of AI on supply chain management and will present this to their C-suite. Your goal is to write a 2000-word report on AI in retail supply chains. Make it formal but readable, evidence-based, and format it with an executive summary, current landscape, key opportunities, risks, and numbered recommendations.",high
Act as a policy analyst. The situation is we need a quick summary of a research topic on housing affordability. Your goal is to extract key insights and present them clearly with summary key facts and main conclusion.,mid
Write the opening paragraph of a short story set on a space station. Include a conflict within the first 3 sentences.,mid
Explain the difference between a sole proprietorship and a private limited company. Include 2 advantages of each.,mid
Act as a product copywriter. The situation is we are selling an adjustable standing desk to remote workers. Your goal is to write three descriptions focusing on health productivity and design. Make them short and structured with headline and key benefit.,mid
tell me about pollution,low
Explain the Pomodoro technique. Include the steps to apply it and 2 situations where it works best.,mid
Write a Python function that reverses a string.,low
List 3 arguments for and 3 arguments against the use of AI in criminal sentencing decisions.,mid
Act as a decision analyst. The situation is choosing between two career paths with different risk and reward levels. Your goal is to evaluate options using structured criteria and give a recommendation.,mid
Act as a creative director. The situation is we run a fitness app and retention is below benchmark. Your goal is to generate ideas to improve retention beyond streaks. Make them practical and format as grouped ideas with short explanations.,mid
Explain what customer retention means and give 3 practical strategies a small business can use.,mid
Compare smartphones and laptops for student use. Include pros and cons for each device.,mid
Act as a strategic decision coach. The situation is I am a senior software engineer with a family and mortgage deciding between a CTO role at an early stage startup and a staff engineer role at a FAANG company. Your goal is to guide me through a structured decision and give a clear recommendation. Make it direct and honest about uncertainty and format it as decision criteria scorecard risk assessment final recommendation and one validation question.,high
Explain how photosynthesis works in simple terms.,low
Summarize the key causes of World War I in 3 bullet points.,low
problem not clear but outcome bad analyse full system and solve,high
A company is automating jobs leading to productivity gains but social backlash. Analyse impacts and suggest a balanced strategy.,mid
Describe the advantages of online learning compared to classroom learning. Include at least 3 advantages.,low
Explain what carbon footprint means and give 3 simple ways an individual can reduce theirs.,low
Compare saving in a bank account versus investing in mutual funds. Include 2 advantages and 1 risk for each.,mid
Explain the concept of fair trade and give 2 examples of how it benefits producers in developing countries.,mid
List 3 signs of a toxic workplace culture and suggest one actionable fix for each.,mid
Act as a research analyst at a policy think tank. The situation is our team needs a quick summary from an academic paper for a government client meeting tomorrow. Your goal is to extract key insights from the given text. Make it clear and concise. Format the output as a short summary followed by key points and the main argument.,mid
Figure out why a company is losing customers even though sales look fine and suggest what they should do about it.,mid
"Act as a conversion copywriter. The situation is we sell an ergonomic standing desk to remote workers aged 28-45 who care about health and productivity. Your goal is to write 3 product descriptions each highlighting a different benefit: health, productivity, and aesthetics. Make each 80-90 words, use honest benefit-first language, and format each with a bold headline, 2-sentence body, and one bullet point.",mid
hi i am mansha taori,low
Act as a UX researcher. The situation is we are building a habit tracking app for people managing stress. Your goal is to create realistic user personas. Make them detailed and format as name age job goals pain points usage style and a quote.,mid
